SNID,CID,n_entries,mean_z,logMstar,is_calibrator,used_in_shoes_hf,mean_mu_resid,mean_H0_proxy,priority_score,Reff_kpc,stellar_age_Gyr,sigma_v_km_s,logsSFR,metallicity,morphology,host_name,source_radius,source_age,source_sigma,notes,value_confidence,target_regime
PS16cvc,PS16cvc,1,0.02915,7.95752,0,1,0.2629330360192039,59.71360477288692,7.051732144076816,,,,,,,,,,,,estimate,Child Target
2008cf,2008cf,2,0.04682,8.91208,0,1,-0.0068060444049091,67.61167353293004,7.027224177619637,,,,,,,,,,,,estimate,Child Target
2007F,2007F,2,0.02417,9.63941,0,1,-0.0039491260718573,67.55873363737015,7.0157965042874295,,,,,,,,,,,,estimate,Child Target
ASASSN-16hz,ASASSN-16hz,1,0.02466,9.55271,0,1,-0.2501767267402943,75.63019878400327,7.000706906961177,,,,,,,,,,,,estimate,Child Target
2014bj,2014bj,1,0.04258,7.87303,0,1,0.2344556627503902,60.50186524847464,6.937822651001561,,,,,,,,,,,,estimate,Child Target
2008bz,2008bz,2,0.06099,10.3562,0,1,0.0926686623697126,64.58566197965256,7.37067464947885,,,,,,,,,,,,estimate,Teen Target
2007ux,2007ux,2,0.03264,10.0948,0,1,0.0901626503353103,64.738155875238,7.360650601341241,,,,,,,,,,,,estimate,Teen Target
2006en,2006en,2,0.03162,10.183,0,1,0.0535914262095271,65.75936773941729,7.214365704838109,,,,,,,,,,,,estimate,Teen Target
2008hj,2008hj,2,0.03682,9.9461,0,1,-0.0454900828856476,68.83048246871999,7.181960331542591,,,,,,,,,,,,estimate,Teen Target
2008gp,2008gp,2,0.03333,10.4696,0,1,-0.0340194084349238,68.47132767736133,7.136077633739696,,,,,,,,,,,,estimate,Teen Target
2006ac,2006ac,2,0.02432,11.1921,0,1,-0.0606273054361725,69.3104541980615,7.24250922174469,,,,,,,,,,,,estimate,Adult Target
2001ah,2001ah,2,0.05886,10.5719,0,1,0.0584447038318406,65.65795698707215,7.233778815327362,,,,,,,,,,,,estimate,Adult Target
2008gg,2008gg,2,0.03114,10.9334,0,1,0.026979075940341,66.59719488985505,7.107916303761364,,,,,,,,,,,,estimate,Adult Target
1999gp,1999gp,2,0.02691,10.9727,0,1,0.0243746948497989,66.6484031945063,7.097498779399196,,,,,,,,,,,,estimate,Adult Target
2001eh,2001eh,2,0.03725,11.1794,0,1,0.0224121120171947,66.70827810645966,7.089648448068779,,,,,,,,,,,,estimate,Adult Target
