SNID,CID,n_entries,mean_z,logMstar,is_calibrator,used_in_shoes_hf,mean_mu_resid,mean_H0_proxy,priority_score,Reff_kpc,stellar_age_Gyr,sigma_v_km_s,logsSFR,metallicity,morphology,host_name,source_radius,source_age,source_sigma,notes,value_confidence,target_regime
ASASSN-15pr,ASASSN-15pr,1,0.03264,9.55707,0,1,0.2251626503353119,60.76134328225278,6.900650601341248,,,,,,,,,,,,estimate,Child Target
2010ii,2010ii,1,0.02805,7.97988,0,1,-0.215963598229786,74.44792817250158,6.863854392919144,,,,,,,,,,,,estimate,Child Target
PS16dnp,PS16dnp,1,0.05023,8.04941,0,1,0.2113400962280689,61.14935455046481,6.845360384912276,,,,,,,,,,,,estimate,Child Target
ASASSN-15sf,ASASSN-15sf,1,0.02432,8.21725,0,1,0.2010226945638234,61.440587191497706,6.8040907782552935,,,,,,,,,,,,estimate,Child Target
2008050,2008050,1,0.04625,9.02736,0,1,-0.1978616567959097,73.82989111041789,6.791446627183639,,,,,,,,,,,,estimate,Child Target
PS16fbb,PS16fbb,1,0.05106,8.77965,0,1,0.1965549352443698,61.56713005679544,6.786219740977479,,,,,,,,,,,,estimate,Child Target
2007sw,2007sw,1,0.02517,8.41811,0,1,-0.1949547977505563,73.73112425380987,6.779819191002225,,,,,,,,,,,,estimate,Child Target
iPTF17dz,iPTF17dz,1,0.09293,8.80725,0,1,0.1749185113724518,62.183647705963125,6.699674045489807,,,,,,,,,,,,estimate,Child Target
2009ad,2009ad,2,0.02844,10.4871,0,1,-0.020126839155198,68.02923025070689,7.080507356620792,,,,,,,,,,,,estimate,Teen Target
2992,2992,1,0.12623,9.72723,0,1,-0.264959514375187,76.14682492999904,7.059838057500748,,,,,,,,,,,,estimate,Teen Target
AT2017yk,AT2017yk,1,0.04691,10.0803,0,1,0.2649324274848705,59.658648549031305,7.059729709939482,,,,,,,,,,,,estimate,Teen Target
1995ac,1995ac,1,0.0486,10.3844,0,1,-0.2424737025788292,75.36238550206336,6.969894810315317,,,,,,,,,,,,estimate,Teen Target
2009bv,2009bv,1,0.03848,10.123,0,1,0.2066101541931129,61.28269639553979,6.826440616772452,,,,,,,,,,,,estimate,Teen Target
ASASSN-15fs,ASASSN-15fs,1,0.02917,10.0517,0,1,-0.1942885585916815,73.70850594790616,6.777154234366726,,,,,,,,,,,,estimate,Teen Target
ASASSN-15pm,ASASSN-15pm,1,0.04837,10.292,0,1,-0.188612258579015,73.51608111076433,6.75444903431606,,,,,,,,,,,,estimate,Teen Target
1992bh,1992bh,1,0.0444,10.1363,0,1,0.1810954394331272,62.0070126600243,6.724381757732509,,,,,,,,,,,,estimate,Teen Target
1241,1241,1,0.0887,9.91509,0,1,-0.1630796504849616,72.65672641818396,6.652318601939847,,,,,,,,,,,,estimate,Teen Target
PS15bwh,PS15bwh,1,0.07158,10.6434,0,1,-0.1995764855197936,73.88821817977737,6.798305942079175,,,,,,,,,,,,estimate,Adult Target
1992bs,1992bs,1,0.06372,10.5104,0,1,0.1672884090319098,62.40253244115535,6.669153636127639,,,,,,,,,,,,estimate,Adult Target
1794,1794,1,0.14082,11.0328,0,1,0.1591623262141351,62.636492652472384,6.63664930485654,,,,,,,,,,,,estimate,Adult Target
2007ae,2007ae,1,0.06533,10.8837,0,1,-0.1559620679434434,72.41896441042692,6.623848271773774,,,,,,,,,,,,estimate,Adult Target
SN2016glp,SN2016glp,1,0.0841,10.5245,0,1,0.1507872804972461,62.87853874489242,6.603149121988984,,,,,,,,,,,,estimate,Adult Target
2006az,2006az,1,0.03201,11.1124,0,1,-0.1501039511676456,72.22385853894484,6.600415804670583,,,,,,,,,,,,estimate,Adult Target
2005lz,2005lz,1,0.04643,11.0342,0,1,-0.1454794253511213,72.07020901858758,6.581917701404485,,,,,,,,,,,,estimate,Adult Target
2005am,2005am,3,0.00863,11.3117,0,0,-0.3871756141987195,80.56069126676145,6.548702456794878,,,,,,,,,,,,estimate,Adult Target
