SNID,CID,n_entries,mean_z,logMstar,is_calibrator,used_in_shoes_hf,mean_mu_resid,mean_H0_proxy,priority_score,Reff_kpc,stellar_age_Gyr,sigma_v_km_s,logsSFR,metallicity,morphology,host_name,source_radius,source_age,source_sigma,notes,value_confidence,target_regime
ASASSN-16oz,ASASSN-16oz,1,0.03192,8.01111,0,1,-0.1742454867114577,73.03129368904415,6.696981946845831,,,,,,,,,,,,estimate,Child Target
13796,13796,1,0.14747,9.66952,0,1,-0.1604374842786402,72.56837420054987,6.641749937114561,,,,,,,,,,,,estimate,Child Target
2000cw,2000cw,1,0.02949,7.0,0,1,0.1503039407277225,62.89253619700319,6.60121576291089,,,,,,,,,,,,estimate,Child Target
000190,000190,1,0.10221,7.0,0,1,0.1405714427433207,63.17505198873256,6.562285770973283,,,,,,,,,,,,estimate,Child Target
SN2017cii,SN2017cii,1,0.03289,8.8988,0,1,0.1380930928160762,63.247196247700494,6.552372371264305,,,,,,,,,,,,estimate,Child Target
PS16evk,PS16evk,1,0.05262,9.93232,0,1,0.1627712430647374,62.53247928669183,6.65108497225895,,,,,,,,,,,,estimate,Teen Target
PS15asb,PS15asb,1,0.04989,10.2884,0,1,-0.1602797819304715,72.56310414166784,6.641119127721886,,,,,,,,,,,,estimate,Teen Target
PS15bzz,PS15bzz,1,0.07931,10.4626,0,1,-0.1533139068051898,72.33070162818032,6.613255627220759,,,,,,,,,,,,estimate,Teen Target
15234,15234,1,0.13535,9.98362,0,1,0.1527437900838304,62.82191032172633,6.610975160335322,,,,,,,,,,,,estimate,Teen Target
2009do,2009do,1,0.04099,10.4649,0,1,-0.1506889180322747,72.24331734257407,6.602755672129099,,,,,,,,,,,,estimate,Teen Target
PS16el,PS16el,1,0.0494,9.98418,0,1,-0.140380199885465,71.90116653755484,6.56152079954186,,,,,,,,,,,,estimate,Teen Target
2006S,2006S,1,0.03393,10.2024,0,1,0.1396268173481996,63.20254013007019,6.558507269392798,,,,,,,,,,,,estimate,Teen Target
SN2017mf,SN2017mf,1,0.02598,10.508,0,1,0.1343527813045053,63.356231974064784,6.537411125218021,,,,,,,,,,,,estimate,Adult Target
ASASSN-16hc,ASASSN-16hc,1,0.05151,10.7547,0,1,-0.1174013037144394,71.14430764063286,6.469605214857758,,,,,,,,,,,,estimate,Adult Target
2008bq,2008bq,1,0.03166,10.9133,0,1,0.1126319457034892,63.99315279665998,6.450527782813957,,,,,,,,,,,,estimate,Adult Target
