SNID,CID,n_entries,mean_z,logMstar,is_calibrator,used_in_shoes_hf,mean_mu_resid,mean_H0_proxy,priority_score,Reff_kpc,stellar_age_Gyr,sigma_v_km_s,logsSFR,metallicity,morphology,host_name,source_radius,source_age,source_sigma,notes,value_confidence,target_regime
2011dn,2011dn,1,0.02513,9.15925,0,1,-0.6448362947378374,90.70414950510327,8.57934517895135,,,,,,,,,,,,estimate,Child Target
2007jg,2007jg,2,0.03756,8.21426,0,1,0.2801217627772185,59.26349440990852,8.120487051108874,,,,,,,,,,,,estimate,Child Target
2007hx,2007hx,1,0.07875,10.2646,0,1,0.4271131398998431,55.36525041519556,7.7084525595993725,,,,,,,,,,,,estimate,Teen Target
2006gr,2006gr,2,0.03428,10.0957,0,1,0.1361818282100682,63.30349483560786,7.544727312840273,,,,,,,,,,,,estimate,Teen Target
2004as,2004as,2,0.03296,8.76504,0,1,0.1068142079542599,64.20746034461938,7.42725683181704,,,,,,,,,,,,estimate,Child Target
2007ux,2007ux,2,0.03264,10.0948,0,1,0.0901626503353103,64.738155875238,7.360650601341241,,,,,,,,,,,,estimate,Teen Target
2006en,2006en,2,0.03162,10.183,0,1,0.0535914262095271,65.75936773941729,7.214365704838109,,,,,,,,,,,,estimate,Teen Target
2008hj,2008hj,2,0.03682,9.9461,0,1,-0.0454900828856476,68.83048246871999,7.181960331542591,,,,,,,,,,,,estimate,Teen Target
2007qe,2007qe,2,0.02357,8.34246,0,1,0.0343110622096763,66.35754519692728,7.137244248838705,,,,,,,,,,,,estimate,Child Target
2008gp,2008gp,2,0.03333,10.4696,0,1,-0.0340194084349238,68.47132767736133,7.136077633739696,,,,,,,,,,,,estimate,Teen Target
1995ac,1995ac,1,0.0486,10.3844,0,1,-0.2424737025788292,75.36238550206336,6.969894810315317,,,,,,,,,,,,estimate,Teen Target
2014bj,2014bj,1,0.04258,7.87303,0,1,0.2344556627503902,60.50186524847464,6.937822651001561,,,,,,,,,,,,estimate,Child Target
