SNID,CID,n_entries,mean_z,logMstar,is_calibrator,used_in_shoes_hf,mean_mu_resid,mean_H0_proxy,priority_score,Reff_kpc,stellar_age_Gyr,sigma_v_km_s,logsSFR,metallicity,morphology,host_name,source_radius,source_age,source_sigma,notes,value_confidence,target_regime
LSQ12gdj,LSQ12gdj,1,0.02947,8.87386,0,1,-0.3621906463555948,79.63390740243993,7.448762585422379,,,,,,,,,,,,estimate,Child Target
2004as,2004as,2,0.03296,8.76504,0,1,0.1068142079542599,64.20746034461938,7.42725683181704,,,,,,,,,,,,estimate,Child Target
ASASSN-15mi,ASASSN-15mi,1,0.03585,9.51083,0,1,-0.3403693849378388,78.83766873626912,7.361477539751355,,,,,,,,,,,,estimate,Child Target
2007qe,2007qe,2,0.02357,8.34246,0,1,0.0343110622096763,66.35754519692728,7.137244248838705,,,,,,,,,,,,estimate,Child Target
PS15bbn,PS15bbn,1,0.03624,7.94021,0,1,0.2685129855723698,59.56035798833797,7.074051942289479,,,,,,,,,,,,estimate,Child Target
PS15cze,PS15cze,1,0.04035,10.4136,0,1,0.3927976417237584,56.247130083153706,7.571190566895034,,,,,,,,,,,,estimate,Teen Target
2006gr,2006gr,2,0.03428,10.0957,0,1,0.1361818282100682,63.30349483560786,7.544727312840273,,,,,,,,,,,,estimate,Teen Target
2005iq,2005iq,2,0.03341,10.49,0,1,0.1232465938590241,63.68139280588301,7.492986375436097,,,,,,,,,,,,estimate,Teen Target
2003fa,2003fa,2,0.04056,10.3091,0,1,-0.1181574350839671,71.17708102822503,7.472629740335869,,,,,,,,,,,,estimate,Teen Target
PTSS-16efw,PTSS-16efw,1,0.03568,9.96056,0,1,0.352723636616842,57.29479491381592,7.410894546467368,,,,,,,,,,,,estimate,Teen Target
2008Y,2008Y,2,0.07056,10.544,0,1,-0.129463156208791,71.54124781144543,7.5178526248351645,,,,,,,,,,,,estimate,Adult Target
ASASSN-15la,ASASSN-15la,1,0.02902,10.5989,0,1,-0.3661515969437321,79.77929899382895,7.464606387774928,,,,,,,,,,,,estimate,Adult Target
1981D,1981D,1,0.00616,11.314,0,0,-1.1109803287610998,112.42320503503406,7.443921315044399,,,,,,,,,,,,estimate,Adult Target
2009cz,2009cz,2,0.02343,10.5159,0,1,-0.0900748801167754,70.25461732922183,7.360299520467102,,,,,,,,,,,,estimate,Adult Target
2007kk,2007kk,2,0.04285,10.8891,0,1,-0.060696974632103,69.31426217911223,7.242787898528412,,,,,,,,,,,,estimate,Adult Target
