SNID,host_name,morphology,mean_z,logMstar,mean_H0_proxy,priority_score,target_regime
2005df_ANU,,,0.00407,9.552,59.7271118058184,14.049767644846716,Child Target
2008fv_comb,,,0.01079,8.37261,69.38021671030756,13.251515109983394,Child Target
2011dn,,,0.02513,9.15925,90.70414950510327,8.57934517895135,Child Target
2007jg,,,0.03756,8.21426,59.26349440990852,8.120487051108874,Child Target
ATLAS17bas,,,0.02357,8.18544,80.65804365896733,7.559755751161283,Child Target
LSQ12gdj,,,0.02947,8.87386,79.63390740243993,7.448762585422379,Child Target
2004as,,,0.03296,8.76504,64.20746034461938,7.42725683181704,Child Target
ASASSN-15mi,,,0.03585,9.51083,78.83766873626912,7.361477539751355,Child Target
2007qe,,,0.02357,8.34246,66.35754519692728,7.137244248838705,Child Target
PS15bbn,,,0.03624,7.94021,59.56035798833797,7.074051942289479,Child Target
PS16cvc,,,0.02915,7.95752,59.71360477288692,7.051732144076816,Child Target
2008cf,,,0.04682,8.91208,67.61167353293004,7.027224177619637,Child Target
2007F,,,0.02417,9.63941,67.55873363737015,7.0157965042874295,Child Target
ASASSN-16hz,,,0.02466,9.55271,75.63019878400327,7.000706906961177,Child Target
2014bj,,,0.04258,7.87303,60.50186524847464,6.937822651001561,Child Target
1999cp,,,0.00954,10.441,62.88325362650868,14.609435288337645,Teen Target
1997bp,,,0.00864,9.75,78.74710969349937,14.351494520507323,Teen Target
2005df,,,0.00407,10.375,59.30502786410644,14.111367644846716,Teen Target
1998ab,,,0.02873,10.3527,82.95735294889344,7.803899786954339,Teen Target
2007hx,,,0.07875,10.2646,55.36525041519556,7.7084525595993725,Teen Target
PS15cze,,,0.04035,10.4136,56.247130083153706,7.571190566895034,Teen Target
2006gr,,,0.03428,10.0957,63.30349483560786,7.544727312840273,Teen Target
2005iq,,,0.03341,10.49,63.68139280588301,7.492986375436097,Teen Target
2003fa,,,0.04056,10.3091,71.17708102822503,7.472629740335869,Teen Target
PTSS-16efw,,,0.03568,9.96056,57.29479491381592,7.410894546467368,Teen Target
2008bz,,,0.06099,10.3562,64.58566197965256,7.37067464947885,Teen Target
2007ux,,,0.03264,10.0948,64.738155875238,7.360650601341241,Teen Target
2006en,,,0.03162,10.183,65.75936773941729,7.214365704838109,Teen Target
2008hj,,,0.03682,9.9461,68.83048246871999,7.181960331542591,Teen Target
2008gp,,,0.03333,10.4696,68.47132767736133,7.136077633739696,Teen Target
2009ad,,,0.02844,10.4871,68.02923025070689,7.080507356620792,Teen Target
2992,,,0.12623,9.72723,76.14682492999904,7.059838057500748,Teen Target
AT2017yk,,,0.04691,10.0803,59.658648549031305,7.059729709939482,Teen Target
1995ac,,,0.0486,10.3844,75.36238550206336,6.969894810315317,Teen Target
2009bv,,,0.03848,10.123,61.28269639553979,6.826440616772452,Teen Target
1999dq,,,0.01312,10.854,73.10640031528106,14.705372916847402,Adult Target
2013aa,,,0.00331,10.53,72.52854745597088,14.63501592259138,Adult Target
2002dp,,,0.01061,10.53,63.4991771266902,14.519598780323529,Adult Target
1998dh,,,0.00814,10.935,66.2379986277853,14.153416521408763,Adult Target
2007O,,,0.03818,10.8351,72.37442734501089,7.61826761958347,Adult Target
2008Y,,,0.07056,10.544,71.54124781144543,7.5178526248351645,Adult Target
ASASSN-15la,,,0.02902,10.5989,79.77929899382895,7.464606387774928,Adult Target
1981D,,,0.00616,11.314,112.42320503503406,7.443921315044399,Adult Target
2009cz,,,0.02343,10.5159,70.25461732922183,7.360299520467102,Adult Target
2007kk,,,0.04285,10.8891,69.31426217911223,7.242787898528412,Adult Target
2006ac,,,0.02432,11.1921,69.3104541980615,7.24250922174469,Adult Target
2001ah,,,0.05886,10.5719,65.65795698707215,7.233778815327362,Adult Target
2008gg,,,0.03114,10.9334,66.59719488985505,7.107916303761364,Adult Target
1999gp,,,0.02691,10.9727,66.6484031945063,7.097498779399196,Adult Target
2001eh,,,0.03725,11.1794,66.70827810645966,7.089648448068779,Adult Target
