proxy,Dsat,q_sat,phi0,best_model,best_BIC,BIC_mass_only,BIC_capacity_state,delta_BIC_capacity_minus_mass,mass_step_mu_high_minus_low,H0_overflow_minus_filling,score
hybrid,1.15,7.0,0.083,E_Gsat,-11497.06374744465,-10476.591518849964,-11481.416398456775,-1004.824879606811,-0.07993540969303152,5.821933425859513,6.459030696848167e-05
hybrid,1.15,3.0,0.083,E_Gsat,-11496.751109430143,-10727.5843941628,-11481.314489931992,-753.7300957691914,-0.08017217681151356,5.103576075128544,0.0001721768115135608
MR_age,1.0,3.0,0.07,E_Gsat,-11496.479354723138,-10979.499407292107,-11481.268839913306,-501.7694326211986,-0.0797759012471718,4.372914314948645,0.00022409875282820846
sigma_age,1.15,7.0,0.1,E_Gsat,-11497.649636547836,-10019.112964499922,-11482.048396628015,-1462.9354321280935,-0.08036220560837129,6.952100672638537,0.00036220560837128823
hybrid,1.15,5.0,0.083,E_Gsat,-11497.095444181383,-10551.20904027678,-11481.5053569212,-930.2963166444188,-0.08041846365156291,5.634720562910431,0.00041846365156290866
sigma_age,1.3,3.0,0.1,E_Gsat,-11497.059012965603,-10342.21849618749,-11481.944273763113,-1139.7257775756225,-0.07932323763299326,6.1101963857381065,0.0006767623670067419
MR_age,1.0,5.0,0.07,E_Gsat,-11496.777226133589,-10854.492784799657,-11481.455652338791,-626.9628675391341,-0.0808990558765296,4.783271326564304,0.0008990558765295947
MR_age,1.0,7.0,0.07,E_Gsat,-11497.022904471893,-10795.675516213929,-11481.618103110493,-685.9425868965645,-0.0809086820209552,4.930143160340677,0.0009086820209552038
hybrid,0.75,5.0,0.07,E_Gsat,-11496.309168011783,-10840.420384895962,-11480.794865726473,-640.374480830511,-0.07871416121619124,4.72144082914933,0.0012858387838087654
sigma_age,1.3,5.0,0.1,E_Gsat,-11497.686140889047,-10099.241770718145,-11482.561569868913,-1383.3197991507677,-0.07869717109909563,6.780171112928272,0.0013028289009043709
MR_age,1.15,7.0,0.07,E_Gsat,-11496.546330623412,-10800.364699045631,-11481.568192014674,-681.2034929690435,-0.07853785376412904,4.909906147299083,0.0014621462358709592
hybrid,0.75,7.0,0.07,E_Gsat,-11496.061424578971,-10783.624632887471,-11480.628819837342,-697.0041869498709,-0.07848359300047966,4.88142134240924,0.0015164069995203394
MR_age,1.15,5.0,0.07,E_Gsat,-11496.31989745366,-10859.991671500547,-11481.41237024841,-621.4206987478628,-0.07832298429271908,4.764236673493471,0.0016770157072809183
MR_age,0.9,3.0,0.07,E_Gsat,-11496.664668678963,-10980.401523623981,-11481.222247933694,-500.8207243097131,-0.0817426082655144,4.403996752742074,0.0017426082655143948
sigma_age,1.15,5.0,0.1,E_Gsat,-11497.66755968702,-10115.792476455825,-11482.114766230186,-1366.3222897743617,-0.08178387168562407,6.725830472032058,0.0017838716856240638
hybrid,1.3,5.0,0.083,E_Gsat,-11497.203641414308,-10551.26468184503,-11481.872087631804,-930.6074057867736,-0.07803699546269018,5.67048920506015,0.001963004537309826
sigma_age,0.75,3.0,0.083,E_Gsat,-11496.422985218,-10763.92959401293,-11481.557085251034,-717.6274912381032,-0.07794939135456203,4.88473633665609,0.0020506086454379763
sigma_age,0.75,5.0,0.083,E_Gsat,-11496.262084701997,-10608.999261122,-11481.740386306938,-872.7411251849371,-0.08215106813723033,5.45096225741149,0.0021510681372303303
sigma_age,1.15,3.0,0.1,E_Gsat,-11497.215597886725,-10354.3832230345,-11481.68331955488,-1127.300096520381,-0.08216460133939235,6.056730589527888,0.0021646013393923497
hybrid,1.3,7.0,0.083,E_Gsat,-11497.600089999776,-10471.247401780389,-11482.150258654754,-1010.9028568743652,-0.077824276626626,5.8604471110366205,0.002175723373374003
hybrid,1.3,3.0,0.083,E_Gsat,-11496.570351665398,-10731.946027869672,-11481.361487794895,-749.4154599252233,-0.07743403295913409,5.134921491491653,0.00256596704086591
hybrid,0.75,3.0,0.07,E_Gsat,-11496.62549051809,-10961.17454913201,-11481.010513489926,-519.8359643579151,-0.07734548351576648,4.28120754800598,0.002654516484233524
sigma_age,1.3,7.0,0.1,E_Gsat,-11497.80441893027,-10003.051155227618,-11482.544912647229,-1479.4937574196101,-0.07730211275389737,7.001704696554739,0.0026978872461026343
hybrid,1.0,7.0,0.083,E_Gsat,-11496.451195380387,-10493.155340463465,-11480.87244778987,-987.7171073264053,-0.08278076724400943,5.783892484452323,0.002780767244009427
MR_age,0.9,7.0,0.07,E_Gsat,-11497.014589827379,-10800.202373633969,-11481.398703764125,-681.1963301301566,-0.08280446086319837,4.967834328150943,0.0028044608631983686
MR_age,0.9,5.0,0.07,E_Gsat,-11496.923798333362,-10856.7890125729,-11481.37621602862,-624.5872034557196,-0.08281939493466821,4.817466984880653,0.002819394934668207
MR_age,1.15,3.0,0.07,E_Gsat,-11496.142814746767,-10984.510770419472,-11481.344378327938,-496.83360790846564,-0.0769734680509115,4.354195702777773,0.003026531949088501
sigma_age,0.9,5.0,0.083,E_Gsat,-11497.002136440948,-10519.600355208519,-11481.594598420406,-961.9942432118878,-0.07693750382492207,5.564492930433715,0.003062496175077936
hybrid,1.0,3.0,0.083,E_Gsat,-11496.817456580155,-10735.061329271322,-11481.22237632591,-746.1610470545875,-0.08320484654284796,5.076940743114449,0.0032048465428479583
sigma_age,0.75,7.0,0.083,E_Gsat,-11496.133724403886,-10532.675073292537,-11481.750110942094,-949.0750376495562,-0.0832278623788068,5.663474380980034,0.0032278623788068034
sigma_age,0.9,7.0,0.083,E_Gsat,-11496.892278960746,-10438.691938087444,-11481.519576470786,-1042.8276383833418,-0.076715501423288,5.77075782751551,0.0032844985767120083
hybrid,1.0,5.0,0.083,E_Gsat,-11496.782424071249,-10564.973369703714,-11481.135831207457,-916.1624615037435,-0.08339819356960237,5.6003728682345155,0.003398193569602373
MR_age,1.3,7.0,0.07,E_Gsat,-11495.775369863199,-10815.429608822227,-11480.959864573919,-665.5302557516916,-0.07644919766764004,4.888156714873247,0.0035508023323599647
MR_age,1.3,5.0,0.07,E_Gsat,-11495.731617948775,-10872.791881674873,-11481.053129377284,-608.2612477024104,-0.07594353633695103,4.73658603221395,0.004056463663048973
sigma_age,0.9,3.0,0.083,E_Gsat,-11496.8953617391,-10695.287947296973,-11481.419746622543,-786.1317993255707,-0.0752102428964824,5.002826827730843,0.004789757103517603
MR_age,0.75,3.0,0.07,E_Gsat,-11496.82888470443,-10991.174893140993,-11481.248278669205,-490.0733855282124,-0.08485609132440378,4.367144749107268,0.0048560913244037746
sigma_age,1.0,7.0,0.1,E_Gsat,-11497.327339223248,-10058.15541404151,-11481.707761060172,-1423.5523470186617,-0.08516494453681861,6.9372057638202875,0.005164944536818608
hybrid,0.9,7.0,0.083,E_Gsat,-11496.164077351868,-10511.277420358367,-11480.647141879146,-969.3697215207794,-0.08524757377820572,5.782308616451147,0.005247573778205714
hybrid,0.9,5.0,0.07,E_Gsat,-11496.540431103696,-10802.218543085246,-11480.941602034785,-678.7230589495393,-0.07466546133413604,4.762930358218014,0.005334538665863961
sigma_age,1.0,3.0,0.1,E_Gsat,-11497.214766416377,-10388.28412918361,-11481.567503799777,-1093.2833746161668,-0.08535072659548396,6.023568691997511,0.005350726595483954
hybrid,0.9,3.0,0.083,E_Gsat,-11496.795969352446,-10748.676702248551,-11481.157703329807,-732.4810010812562,-0.08542831985535282,5.071419646525015,0.005428319855352817
MR_age,1.3,3.0,0.083,E_Gsat,-11495.597386543048,-10827.311590094947,-11481.275687422129,-653.9640973271817,-0.08549067486655323,5.070695992805611,0.005490674866553233
MR_age,1.3,3.0,0.07,E_Gsat,-11495.789532709654,-10994.640961539017,-11481.299477395458,-486.6585158564412,-0.07431160993658562,4.3153851511988535,0.005688390063414386
hybrid,0.9,3.0,0.07,E_Gsat,-11496.777823578064,-10931.682457803032,-11481.130358961542,-549.4479011585099,-0.07426852702547676,4.321665857041509,0.005731472974523241
hybrid,0.9,7.0,0.07,E_Gsat,-11496.166863386276,-10745.346959171658,-11480.686171023894,-735.3392118522352,-0.07413230524858355,4.921210771437046,0.00586769475141645
hybrid,0.9,5.0,0.083,E_Gsat,-11496.559409995227,-10583.580544718245,-11480.937811702066,-897.3572669838213,-0.08588411643340402,5.594633269348591,0.005884116433404016
sigma_age,1.0,5.0,0.083,E_Gsat,-11497.309168694466,-10480.961788470591,-11481.695007413746,-1000.7332189431545,-0.07392491296858603,5.612179073255533,0.0060750870314139754
sigma_age,1.0,5.0,0.1,E_Gsat,-11497.465746443906,-10157.482322961068,-11481.82642112777,-1324.3440981667009,-0.0860769456411218,6.697803568281998,0.006076945641121795
MR_age,0.75,5.0,0.07,E_Gsat,-11496.909891807893,-10872.615079639923,-11481.26898645965,-608.6539068197271,-0.08613439532391312,4.773603883719957,0.006134395323913119
MR_age,0.75,7.0,0.07,E_Gsat,-11496.744917876593,-10818.240779722453,-11481.10022418702,-662.859444464566,-0.08616584644619175,4.9204609521706,0.006165846446191753
sigma_age,1.0,3.0,0.083,E_Gsat,-11497.064635987681,-10664.85714301859,-11481.436052984473,-816.5789099658832,-0.07331232755014186,5.052564125939398,0.0066876724498581425
sigma_age,1.0,7.0,0.083,E_Gsat,-11497.218341843976,-10400.95353520318,-11481.628506470508,-1080.6749712673281,-0.07316946861173823,5.810882895552297,0.006830531388261771
MR_age,1.3,5.0,0.083,E_Gsat,-11495.525912666319,-10671.377012974986,-11480.972322212025,-809.5953092370382,-0.08738926562760074,5.570119894580685,0.007389265627600741
hybrid,1.0,5.0,0.07,E_Gsat,-11496.747299098733,-10787.174710861975,-11481.10884537479,-693.934134512816,-0.07255815060229003,4.766336806956829,0.0074418493977099764
sigma_age,0.75,7.0,0.07,E_Gsat,-11495.934896838467,-10762.877755495805,-11481.669036466394,-718.7912809705886,-0.07241112892632637,4.805548133801409,0.007588871073673634
sigma_age,0.9,3.0,0.1,E_Gsat,-11497.09620418372,-10426.38018241515,-11481.539989520074,-1055.159807104923,-0.08761480313911654,5.968533456117555,0.007614803139116541
hybrid,1.0,3.0,0.07,E_Gsat,-11496.817534454764,-10920.936016794723,-11481.19386286288,-560.2578460681561,-0.07238074849413453,4.324888026735053,0.007619251505865468
hybrid,1.0,7.0,0.07,E_Gsat,-11496.416950225585,-10730.579927377945,-11480.86558781889,-750.2856604409444,-0.07204126418106066,4.921112386899537,0.007958735818939341
MR_age,1.3,7.0,0.083,E_Gsat,-11495.57424641932,-10598.81041062726,-11480.851888215959,-882.0414775886984,-0.08797456227897962,5.749839418305285,0.007974562278979622
sigma_age,0.75,5.0,0.07,E_Gsat,-11496.051793731369,-10823.04448365123,-11481.667152590031,-658.6226689388004,-0.07149579067505213,4.626321041635151,0.008504209324947873
MR_age,1.15,3.0,0.083,E_Gsat,-11495.984767646954,-10814.853342414774,-11481.33168089085,-666.4783384760758,-0.08862370654759619,5.113563937087207,0.008623706547596185
hybrid,0.75,3.0,0.083,E_Gsat,-11496.669565402482,-10786.116033243889,-11481.033113201778,-694.9170799578897,-0.08905016886244566,5.030448189970997,0.009050168862445654
MR_age,0.75,7.0,0.055,E_Gsat,-11496.748167789236,-11045.180491073725,-11481.110075503217,-435.929584429492,-0.07067104886718947,3.92485582577595,0.009328951132810528
sigma_age,1.15,3.0,0.083,E_Gsat,-11497.14917181381,-10637.725469144736,-11481.554548919006,-843.8290797742702,-0.07064491653821411,5.079614019247572,0.009355083461785887
MR_age,0.75,5.0,0.055,E_Gsat,-11496.897710687554,-11082.618705968853,-11481.250568357216,-398.6318623883635,-0.07064061907462879,3.8094681291361496,0.00935938092537121
sigma_age,0.9,7.0,0.1,E_Gsat,-11497.050069816712,-10103.761157949259,-11481.605914429074,-1377.8447564798153,-0.08940762184949058,6.893751528147277,0.00940762184949058
sigma_age,1.15,5.0,0.083,E_Gsat,-11497.584119447212,-10446.620170024487,-11481.984091502443,-1035.363921477956,-0.07034007102224953,5.6349669217260185,0.009659928977750476
sigma_age,0.9,5.0,0.1,E_Gsat,-11497.21561432697,-10204.637701736963,-11481.726410285144,-1277.0887085481809,-0.08968080789591751,6.645239603952362,0.009680807895917506
hybrid,1.15,5.0,0.07,E_Gsat,-11497.049742486413,-10775.774522784102,-11481.43458462933,-705.6600618452285,-0.07003218664013242,4.801385236229976,0.009967813359867586
MR_age,1.15,5.0,0.083,E_Gsat,-11496.17412062668,-10656.05460685027,-11481.375436137589,-825.3208292873187,-0.09019136146364506,5.5997553737929735,0.010191361463645063
hybrid,1.15,3.0,0.07,E_Gsat,-11496.784518912911,-10915.047541160022,-11481.285589688896,-566.2380485288741,-0.06980633718107285,4.353432053763328,0.010193662818927154
hybrid,1.3,3.0,0.1,E_Gsat,-11496.432995978557,-10471.905141037565,-11481.385076940112,-1009.4799359025474,-0.09029021058227343,6.113699529202236,0.010290210582273432
hybrid,1.15,7.0,0.07,E_Gsat,-11496.977237297193,-10716.552067188013,-11481.32953825806,-764.7774710700469,-0.06962929061518565,4.959275602572589,0.010370709384814353
MR_age,0.75,3.0,0.055,E_Gsat,-11496.833862821448,-11163.9873426798,-11481.221603708642,-317.2342610288415,-0.06961952009957328,3.490107380511901,0.010380479900426717
hybrid,0.75,7.0,0.083,E_Gsat,-11496.041199388566,-10559.216451198345,-11480.567138889526,-921.3506876911815,-0.09038101562238607,5.7421302604777225,0.010381015622386067
MR_age,1.15,7.0,0.083,E_Gsat,-11496.423729777096,-10581.010112664215,-11481.527811061036,-900.5176983968213,-0.09043480044256305,5.772477749876813,0.01043480044256305
hybrid,0.75,5.0,0.083,E_Gsat,-11496.32370836082,-10631.406042563127,-11480.769529062407,-849.36348649928,-0.09065878208012645,5.552439080469554,0.010658782080126453
hybrid,1.3,7.0,0.1,E_Gsat,-11497.722275582753,-10144.745559143648,-11482.341107889562,-1337.5955487459141,-0.09070753118267513,6.987826781666058,0.010707531182675131
sigma_age,1.15,7.0,0.083,E_Gsat,-11497.583271631285,-10368.371433003089,-11481.956019420155,-1113.584586417066,-0.06915946345415566,5.82277118822941,0.01084053654584434
sigma_age,0.75,3.0,0.1,E_Gsat,-11496.678406841684,-10512.73090655366,-11481.6241459199,-968.8932393662399,-0.09087317522788087,5.847139327363635,0.010873175227880866
hybrid,1.3,5.0,0.1,E_Gsat,-11497.20878309819,-10244.213218824718,-11481.98756991171,-1237.7743510869914,-0.0909757678903977,6.75896183470644,0.010975767890397697
sigma_age,1.3,3.0,0.083,E_Gsat,-11497.077715335554,-10628.015711165415,-11481.817660361621,-853.8019491962059,-0.0682677480286194,5.13054689946874,0.0117322519713806
MR_age,1.0,3.0,0.083,E_Gsat,-11496.368240140131,-10808.907818195312,-11481.263051942973,-672.3552337476613,-0.09192244301766603,5.132548019890223,0.011922443017666026
MR_age,0.9,5.0,0.055,E_Gsat,-11496.94339589725,-11071.522970641769,-11481.363186450519,-409.84021580875014,-0.06801720448535349,3.8544461802455174,0.01198279551464651
hybrid,1.3,5.0,0.07,E_Gsat,-11497.187240205765,-10775.470511180089,-11481.792443755106,-706.3219325750179,-0.06801277030047952,4.838127782389435,0.011987229699520485
MR_age,0.9,7.0,0.055,E_Gsat,-11496.992822375465,-11032.230762731673,-11481.362874948962,-449.1321122172885,-0.06801110185208896,3.972591949957902,0.011988898147911042
sigma_age,0.75,3.0,0.07,E_Gsat,-11496.239296779655,-10943.886897838534,-11481.510588529092,-537.6236906905579,-0.06793705502943637,4.148781108467944,0.012062944970563635
hybrid,1.3,7.0,0.07,E_Gsat,-11497.509828007054,-10711.39619399229,-11482.020602047694,-770.6244080554043,-0.06783996199225462,4.998333245261165,0.012160038007745386
sigma_age,1.3,5.0,0.083,E_Gsat,-11497.670682408616,-10432.860962656407,-11482.426491540615,-1049.565528884208,-0.06776499113676215,5.686625923036573,0.012235008863237848
hybrid,1.3,3.0,0.07,E_Gsat,-11496.644584271824,-10918.552263322674,-11481.344092637837,-562.7918293151633,-0.06748171496344219,4.386444168536499,0.012518285036557816
MR_age,0.9,3.0,0.055,E_Gsat,-11496.72429897778,-11156.75038988809,-11481.221856195394,-324.4714663073046,-0.0671518101239932,3.5295767121366595,0.012848189876006805
sigma_age,0.9,5.0,0.07,E_Gsat,-11496.848847666943,-10750.402162898496,-11481.503833938252,-731.1016710397562,-0.06706917583912275,4.738039591860641,0.01293082416087725
sigma_age,0.9,7.0,0.07,E_Gsat,-11496.778102026397,-10685.827700719492,-11481.457922074578,-795.6302213550862,-0.06688510932934594,4.911997938797086,0.013114890670654064
MR_age,1.0,5.0,0.083,E_Gsat,-11496.706348478396,-10649.64788550219,-11481.456844097678,-831.8089585954876,-0.09322652545404714,5.619114190805902,0.013226525454047136
MR_age,1.0,7.0,0.083,E_Gsat,-11497.00099808007,-10575.549515271236,-11481.645318567951,-906.0958032967155,-0.09322975952380513,5.793262222283616,0.013229759523805132
hybrid,1.15,7.0,0.1,E_Gsat,-11497.178532686545,-10150.151007210598,-11481.540292738151,-1331.3892855275535,-0.09323480239642147,6.950024425542452,0.013234802396421469
sigma_age,1.3,7.0,0.083,E_Gsat,-11497.779394058782,-10354.744266989213,-11482.437293030054,-1127.6930260408408,-0.06660839656784982,5.870498797446558,0.013391603432150179
MR_age,1.0,7.0,0.055,E_Gsat,-11497.035708291116,-11028.861631768807,-11481.587868135233,-452.72623636642675,-0.06651153298726951,3.93423655040651,0.013488467012730487
MR_age,1.0,5.0,0.055,E_Gsat,-11496.835099673614,-11070.023766835257,-11481.450916710057,-411.4271498748003,-0.06649753747241094,3.8188372524393372,0.013502462527589063
hybrid,1.15,3.0,0.1,E_Gsat,-11496.675490958154,-10466.544812280055,-11481.355204158821,-1014.8103918787656,-0.093561083279578,6.0845336415292195,0.013561083279578001
hybrid,1.15,5.0,0.1,E_Gsat,-11497.144223092537,-10243.683080230821,-11481.606111100895,-1237.9230308700735,-0.09382493436292311,6.724466759338725,0.013824934362923105
MR_age,0.9,3.0,0.083,E_Gsat,-11496.589775472414,-10810.313758139897,-11481.220646611182,-670.9068884712851,-0.09423746331042923,5.161827454600143,0.01423746331042923
sigma_age,0.9,3.0,0.07,E_Gsat,-11496.748209185502,-10889.23725229934,-11481.338893956501,-592.101641657162,-0.06560415127430877,4.264345288376276,0.014395848725691232
MR_age,1.0,3.0,0.055,E_Gsat,-11496.573705921335,-11156.33315674371,-11481.272531429278,-324.9393746855676,-0.06559334453387278,3.4964138861699183,0.014406655466127224
hybrid,0.75,5.0,0.055,E_Gsat,-11496.284387798632,-11060.74308730547,-11480.815133522732,-420.07204621726123,-0.0647629663122983,3.7625966930106216,0.015237033687701698
MR_age,1.15,7.0,0.055,E_Gsat,-11496.655967566428,-11032.539936395657,-11481.603146834472,-449.0632104388151,-0.06463615701408759,3.9146312212478875,0.01536384298591241
hybrid,0.75,7.0,0.055,E_Gsat,-11496.072156688084,-11021.609419430222,-11480.683653499442,-459.07423406921953,-0.06458526722668909,3.888295667714857,0.015414732773310916
MR_age,0.9,7.0,0.083,E_Gsat,-11497.028448566874,-10581.046460750995,-11481.431402127208,-900.3849413762127,-0.09546470979152727,5.830377722584913,0.015464709791527267
sigma_age,1.0,5.0,0.07,E_Gsat,-11497.193604962544,-10718.830597525715,-11481.604769091355,-762.7741715656393,-0.06451443348132675,4.781995635882353,0.01548556651867325
MR_age,0.9,5.0,0.083,E_Gsat,-11496.892780962007,-10652.678533374008,-11481.385834244133,-828.7073008701245,-0.09548958464593982,5.652085015564424,0.015489584645939816
MR_age,1.15,5.0,0.055,E_Gsat,-11496.449671204567,-11074.339681735517,-11481.444400924494,-407.10471918897747,-0.06445842960262954,3.8001766346863377,0.01554157039737046
sigma_age,0.75,5.0,0.1,E_Gsat,-11496.560332895055,-10314.408410504513,-11481.844250804716,-1167.4358403002025,-0.09590777124932187,6.5293392318882155,0.01590777124932187
sigma_age,1.0,3.0,0.07,E_Gsat,-11496.951218056487,-10864.899398105073,-11481.348133278221,-616.4487351731477,-0.06399121653399242,4.310031222483218,0.01600878346600758
sigma_age,1.0,7.0,0.07,E_Gsat,-11497.136358954467,-10654.733564376611,-11481.571662619719,-826.8380982431081,-0.06387834756083784,4.949577172759149,0.016121652439162165
