case,label,N,a,z,H,Omega_m,mu_eff,D_raw,D_norm,f,gamma,sigma8_z,fsigma8
A,A: LCDM baseline,-4.61512051684126,0.0099009900990099,100.00000000000001,564.3200703611326,0.9705889145436943,1.0,0.0099009900990099,0.012859309909275652,1.0,-0.0,0.010428900336422554,0.010428900336422554
A,A: LCDM baseline,-4.613273729919754,0.009919292012700382,99.81364665135659,562.7434345921972,0.9706415890365132,1.0,0.009919291518624883,0.012883079615563139,0.9999461050966232,0.0018087242889449299,0.010448177568221707,0.010447614464701204
A,A: LCDM baseline,-4.611426942998249,0.009937627757355384,99.62763714004532,561.1717224127701,0.9706941394118356,1.0,0.009937625779066223,0.01290689197519737,0.9998923019129556,0.003621046569661511,0.010467489391885068,0.010466362063301404
A,A: LCDM baseline,-4.609580156076745,0.009955997395511207,99.44197083165804,559.6040533888746,0.9707466231757393,1.0,0.009955992940928452,0.012930747066877931,0.9998387429575194,0.005431835371847383,0.010486835871238004,0.010485144795100428
A,A: LCDM baseline,-4.607733369155239,0.009974400989819774,99.25664709295678,558.0410364606155,0.9707989994028188,1.0,0.009974393066306859,0.012954644971253588,0.9997855265932227,0.007237737810527198,0.01050621707168666,0.010503963767518954
A,A: LCDM baseline,-4.605886582233734,0.0099928386030488,99.07166529187226,556.4822826828157,0.9708512930880495,1.0,0.009992826218797438,0.012978585770922198,0.9997326975317506,0.009037200505414275,0.010525633060217903,0.01052281953252102
A,A: LCDM baseline,-4.604039795312229,0.01001131029808203,98.88702479750131,554.9279125159776,0.97090349569259,1.0,0.010011292463445674,0.013002569550364208,0.9996802542644825,0.010830217955678971,0.010545083905345374,0.010541712159735966
A,A: LCDM baseline,-4.602193008390724,0.01002981613791944,98.70272498010492,553.3780227856107,0.9709555999474256,1.0,0.01002979186514436,0.013026596393861747,0.9996281898622166,0.012616967168521773,0.010564569675421877,0.010560641661315236
A,A: LCDM baseline,-4.600346221469219,0.01004835618567749,98.51876521110572,551.8322511644765,0.9710076294538387,1.0,0.010048324487671645,0.013050666384249255,0.9995764561180089,0.014399043980463579,0.010584090437626146,0.01057960761087485
A,A: LCDM baseline,-4.598499434547714,0.010066930504589284,98.3351448630864,550.291174581377,0.9710595449245965,1.0,0.010066890394926704,0.01307477960451836,0.999525029301542,0.016177192690566153,0.01060364625926439,0.010598609837994426
A,A: LCDM baseline,-4.596652647626208,0.010085539158004817,98.15186330978722,548.7539535626503,0.9711114018560036,1.0,0.010085489651011343,0.01309893613792387,0.999473921432661,0.01795099306134312,0.010623237207856259,0.010617648550445448
A,A: LCDM baseline,-4.594805860704703,0.010104182209391188,97.9689199261039,547.2216395233719,0.9711631291870433,1.0,0.010104122320238825,0.013123136067995226,0.9994231785895148,0.01971878318462116,0.01064286335114413,0.010636724319694322
A,A: LCDM baseline,-4.592959073783199,0.010122859722332808,97.78631408808563,545.6929214346418,0.9712148140652748,1.0,0.010122788467572693,0.013147379479106444,0.9993727864386761,0.02148106059278555,0.010662524757555327,0.010655837077429437
A,A: LCDM baseline,-4.591112286861693,0.010141571760531648,97.60404517293257,544.1693196306684,0.9712663538990032,1.0,0.010141488157771104,0.013171666455364795,0.9993227212980874,0.02323851350443344,0.01068222149530085,0.01067498665419297
A,A: LCDM baseline,-4.589265499940188,0.010160318387807406,97.4221125589943,542.6490570688169,0.9713178672445998,1.0,0.010160221455321415,0.013195997080525828,0.9992729853982271,0.024991114415516776,0.010701953632306447,0.010694173155748263
