case,model,k,Gamma0,A_mu,G_void_k,G_collapse_k,D_today,sigma8_today,S8,f_sigma8_z0p5,f_sigma8_z1p0,gamma_z0,gamma_z0p5,Gamma_topo_z0,Gamma_topo_z1,mu_eff_z0,mu_eff_z1,delta_S8_vs_LCDM_percent
A_lcdm_linear,lcdm,0.1,0.0,0.0,0.8797113999598205,0.0066928509242848554,0.7789815250233543,0.811,0.811,0.46979842908778724,0.4313169559813013,0.5547269901529012,0.5493901596288067,0.0,0.0,1.0,1.0,0.0
A_lcdm_halo,lcdm,10.0,0.0,0.0,0.00033191490682538127,0.9933071490757153,0.7789815250233543,0.811,0.811,0.46979842908778724,0.4313169559813013,0.5547269901529012,0.5493901596288067,0.0,0.0,1.0,1.0,0.0
B_flux_topology_linear,flux,0.1,0.0,0.0,0.8797113999598205,0.0066928509242848554,0.7819938243138026,0.8141361138179501,0.8141361138179501,0.47333092198080257,0.43386778047666263,0.5542435542155069,0.5489406564915247,0.0,0.0,1.0,1.0,0.38669714154748364
C_flux_topology_halo,flux,10.0,0.0,0.25,0.00033191490682538127,0.9933071490757153,0.8532787001654053,0.8883510116795093,0.8883510116795093,0.5512732863471517,0.48529533124889057,0.461346214951075,0.36909432260659336,0.0,0.0,1.2394579734378957,1.1915663549218725,9.537732636191022
B_flux_topology_linear,flux,0.1,0.01,0.0,0.8797113999598205,0.0066928509242848554,0.7799157075861949,0.8119725802655474,0.8119725802655474,0.4710925342976827,0.43205367180147247,0.5560012047175841,0.5541679253744893,0.00153844504347148,0.007035198930313848,1.0,1.0,0.11992358391459464
C_flux_topology_halo,flux,10.0,0.01,0.25,0.00033191490682538127,0.9933071490757153,0.8532777977004035,0.8883500721204916,0.8883500721204916,0.5512722821451456,0.4852945552708251,0.46134691680120893,0.3690963041973379,5.804549574816563e-07,2.654378921950761e-06,1.2394579734378957,1.1915663549218725,9.537616784277619
B_flux_topology_linear,flux,0.1,0.02,0.0,0.8797113999598205,0.0066928509242848554,0.7778483243947193,0.809820221429776,0.809820221429776,0.4688675541240604,0.43024866913213694,0.5577576313194184,0.5593929138266164,0.00307689008694296,0.014070397860627696,1.0,1.0,-0.1454720801755856
C_flux_topology_halo,flux,10.0,0.02,0.25,0.00033191490682538127,0.9933071490757153,0.8532769711033994,0.8883492115478736,0.8883492115478736,0.5512714153806986,0.4852938241017117,0.46134743266096917,0.36909786846030307,1.1609099149633125e-06,5.308757843901522e-06,1.2394579734378957,1.1915663549218725,9.537510671747663
B_flux_topology_linear,flux,0.1,0.03,0.0,0.8797113999598205,0.0066928509242848554,0.7757916592576588,0.807679021192574,0.807679021192574,0.46665598405617714,0.42845276467827714,0.5595128915977975,0.5646152976106135,0.00461533513041444,0.021105596790941546,1.0,1.0,-0.4094918381536498
C_flux_topology_halo,flux,10.0,0.03,0.25,0.00033191490682538127,0.9933071490757153,0.8532760615007533,0.888348264557833,0.888348264557833,0.5512703963104929,0.48529305689614666,0.461347965921958,0.3690998836441626,1.7413648724449684e-06,7.963136765852283e-06,1.2394579734378957,1.1915663549218725,9.537393903555234
B_flux_topology_linear,flux,0.1,0.04,0.0,0.8797113999598205,0.0066928509242848554,0.7737456259476466,0.8055488897823713,0.8055488897823713,0.4644576778879101,0.42666590020766126,0.561267130128042,0.5698352771572904,0.00615378017388592,0.028140795721255392,1.0,1.0,-0.6721467592637219
C_flux_topology_halo,flux,10.0,0.04,0.25,0.00033191490682538127,0.9933071490757153,0.8532751981464454,0.8883473657170758,0.8883473657170758,0.5512694554673618,0.4852923203012634,0.4613487368757737,0.36910168423816714,2.321819829926625e-06,1.0617515687803044e-05,1.2394579734378957,1.1915663549218725,9.537283072389123
B_flux_topology_linear,flux,0.1,0.05,0.0,0.8797113999598205,0.0066928509242848554,0.7717101328439652,0.8034297318125642,0.8034297318125642,0.4622725255069467,0.42488801141572935,0.56302055779703,0.5750528410209027,0.007692225217357399,0.035175994651569245,1.0,1.0,-0.9334486051092343
C_flux_topology_halo,flux,10.0,0.05,0.25,0.00033191490682538127,0.9933071490757153,0.8532743186317853,0.8883464500517277,0.8883464500517277,0.5512684839285424,0.48529157008327795,0.4613492673264626,0.3691035627183002,2.902274787408281e-06,1.3271894609753804e-05,1.2394579734378957,1.1915663549218725,9.53717016667419
B_flux_topology_linear,flux,0.1,0.06,0.0,0.8797113999598205,0.0066928509242848554,0.769685194406854,0.8013215623377516,0.8013215623377516,0.46010053041054916,0.4231190962375295,0.5647721568874012,0.5802677746492153,0.00923067026082888,0.04221119358188309,1.0,1.0,-1.1933955193894459
C_flux_topology_halo,flux,10.0,0.06,0.25,0.00033191490682538127,0.9933071490757153,0.8532734568335472,0.8883455528309996,0.8883455528309996,0.5512675475201576,0.48529082452942945,0.46134982975790423,0.369105344229622,3.482729744889937e-06,1.5926273531704566e-05,1.2394579734378957,1.1915663549218725,9.537059535265046
