w0_offset,hump_amp,w0,w_z2,H0_eff_z0p1,H0_eff_z0p3,H0_eff_z0p5,H0_eff_z1p0,H0_eff_z1p5,H0_mean_lowz,H0_mean_z0p1_to_1p5,delta_H0_lowz,omega_de_1090,target_distance,cmb_safe,w_reasonable,not_too_extreme_z2,score
-0.005,0.0,-1.005,-1.0000096523123376,67.38406149284594,67.36176948803109,67.3495069182926,67.34206354516415,67.34539980305708,67.36511263305654,67.35656024947818,-0.03488736694346528,1.7830366801658023e-09,5.63488736694346,True,True,True,5.63488736694346
-0.005,-0.005,-1.0054232899431126,-1.0050096515713005,67.38259560684446,67.35761130848611,67.34303393941458,67.3314116639742,67.3323504734618,67.36108028491505,67.34940059843623,-0.038919715084958284,1.7615540649531826e-09,5.638919715084953,True,True,True,5.638919715084953
-0.005,-0.01,-1.0058465798862253,-1.0100096508302634,67.3811297874311,67.35345383879451,67.3365631981527,67.32077032938555,67.3193251841452,67.35704894145944,67.34224846758181,-0.04295105854056658,1.740330279388155e-09,5.642951058540561,True,True,True,5.642951058540561
-0.005,-0.015,-1.0062698698293377,-1.0150096500892265,67.3796640346058,67.34929707892856,67.33009469416298,67.31013953232514,67.30632388445899,67.35301860256578,67.3351038448963,-0.04698139743422303,1.719362205005598e-09,5.646981397434217,True,True,True,5.646981397434217
-0.005,-0.02,-1.0066931597724504,-1.0200096493481894,67.3781983483686,67.34514102886052,67.323628427101,67.2995192637148,67.29334652380493,67.34898926811005,67.32796671836998,-0.05101073188995997,1.6986467609126887e-09,5.651010731889954,True,True,True,5.651010731889954
-0.005,-0.025,-1.0071164497155631,-1.0250096486071523,67.3767327287193,67.34098568856254,67.31716439662173,67.28890951447175,67.28039305163429,67.34496093796785,67.32083707600194,-0.05503906203215081,1.6781809033362208e-09,5.655039062032145,True,True,True,5.655039062032145
-0.005,-0.03,-1.0075397396586758,-1.0300096478661152,67.37526717565795,67.33683105800684,67.31070260237972,67.27831027550728,67.26746341744862,67.34093361201484,67.31371490580008,-0.059066387985168944,1.657961625175369e-09,5.659066387985163,True,True,True,5.659066387985163
-0.005,-0.035,-1.0079630296017885,-1.035009647125078,67.37380168918459,67.33267713716548,67.30424304402919,67.2677215377285,67.25455757080006,67.33690729012642,67.30660019578156,-0.06309270987358673,1.6379859555598566e-09,5.663092709873581,True,True,True,5.663092709873581
-0.005,-0.04,-1.008386319544901,-1.040009646384041,67.37233626929903,67.32852392601055,67.297785721224,67.25714329203755,67.24167546129229,67.33288197217786,67.29949293397269,-0.06711802782214704,1.61825095941343e-09,5.667118027822141,True,True,True,5.667118027822141
-0.01,0.0,-1.01,-1.0000193046246753,67.36813083226998,67.32359683140022,67.29913728627128,67.28435438990775,67.29104376530778,67.33028831664716,67.31325262103141,-0.06971168335284972,1.7693674036331944e-09,5.669711683352844,True,True,True,5.669711683352844
-0.005,-0.045,-1.0088096094880137,-1.045009645643004,67.37087091600135,67.32437142451406,67.29133063361708,67.24657552933097,67.22881703858052,67.32885765804416,67.29239310840879,-0.07114234195584856,1.5987537370226052e-09,5.671142341955843,True,True,True,5.671142341955843
