proxy,amp,Dsat,q,best_model,best_BIC,BIC_mass_only,delta_BIC_best_minus_mass,mass_step_mu_high_minus_low,H0_split_highD_minus_lowD,score
D_MR_age,-0.115,0.8,7.0,D_MR_age,-11308.092375081851,-11022.323785466835,-285.768589615016,-0.07277421043685514,4.159259213250678,0.00722578956314486
D_MR_age,-0.115,0.8,5.0,D_MR_age,-11338.826354640622,-11059.347083988501,-279.47927065212025,-0.0727369761459897,4.148802751322904,0.0072630238540103
D_MR_age,-0.115,0.8,3.0,D_MR_age,-11395.911465095309,-11141.297842218784,-254.61362287652446,-0.07177203693220119,4.053020514105938,0.008227963067798813
D_MR_age,-0.115,1.0,7.0,D_MR_age,-11301.99477869681,-11011.058976216878,-290.9358024799312,-0.06959295633414837,4.1598995739337425,0.010407043665851629
D_MR_age,-0.115,1.0,5.0,D_MR_age,-11335.053888085255,-11051.71373133241,-283.34015675284536,-0.06955507447761575,4.151343562803945,0.010444925522384255
D_MR_age,-0.115,1.0,3.0,D_MR_age,-11393.442505255214,-11137.370531671755,-256.0719735834591,-0.06860236531244837,4.058285022194866,0.01139763468755163
D_MR_age,-0.1,0.8,7.0,D_MR_age,-11348.394508101577,-11123.225520232383,-225.1689878691941,-0.06533036963193398,3.663559949222062,0.014669630368066025
D_MR_age,-0.1,0.8,5.0,D_MR_age,-11372.113611663624,-11152.540072417803,-219.57353924582094,-0.06529799198770318,3.6544790557362177,0.014702008012296819
D_MR_age,-0.1,0.8,3.0,D_MR_age,-11416.414401727743,-11217.535940355441,-198.8784613723019,-0.06445891441049578,3.5713835888432897,0.01554108558950422
D_MR_age,-0.1,1.0,7.0,D_MR_age,-11343.264334807685,-11113.843168348574,-229.4211664591112,-0.0625640617165368,3.664119982982214,0.017435938283463195
D_MR_age,-0.1,1.0,5.0,D_MR_age,-11369.114949324814,-11146.371712667227,-222.74323665758675,-0.06253112097172583,3.6567132036852996,0.017468879028274167
D_MR_age,-0.1,1.0,3.0,D_MR_age,-11414.606833573922,-11214.505654581337,-200.10117899258512,-0.06170267821940635,3.576132107511455,0.01829732178059365
D_sigma_age,-0.115,0.8,7.0,E_sigma_age,-11350.694118762995,-10964.518877111292,-386.1752416517029,-0.06136310903975365,4.077688268950766,0.01863689096024635
D_sigma_age,-0.115,0.8,5.0,E_sigma_age,-11382.374455549725,-11007.00100811065,-375.3734474390749,-0.06097537839446739,4.036012507111138,0.01902462160553261
