CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD,SNID,logMstar,z_use,mu_obs,mu_lcdm_67p4,mu_resid_67p4,mu_resid_centered,H0_proxy_centered,logMstar_proxy,Reff_kpc,stellar_age_Gyr,sigma_v_km_s,sSFR,logsSFR,metallicity,morphology,Reff_kpc_was_missing,stellar_age_Gyr_was_missing,sigma_v_km_s_was_missing,logsSFR_was_missing,metallicity_was_missing,D_MR_age,D_sigma_age,D_hybrid,D_reg,logD_reg,F_fill,G_absorb,G_sat,G_overflow,well_regime
2011fe,51,0.00122,0.00084,0.00122,2e-05,0.00082,2e-05,9.74571,1.51621,28.9987,1.51645,29.177,1,0,-0.1076,0.04008,-0.548188,0.13373,9.58436,0.0327221,2.63181,0.0793177,0.00011378,-0.00052525,-0.00272765,210.774,54.2737,-999,-999,-9.0,0.0,250,0.00758935,10.677,-9.0,55815.0,0.1071,36,26.8859,0.86447,0.0991,1.496,0.0381,0.005,1.0,0.003,2011FE,10.677,0.00122,28.9987,28.67465445859984,0.3240455414001602,0.5041923032901874,53.4344613581299,,5.0,4.0,150.0,,-10.0,8.7,nan,True,True,True,True,True,3.8163646019214803,1.0,1.9535519500609493,1.9535519500609493,0.29082496474166625,1.6987408261399561,0.02391109718286122,0.9760889028171388,0.40149336252209405,overflowing
2011fe,56,0.00122,0.00084,0.00122,2e-05,0.00082,2e-05,9.80286,1.51723,29.0559,1.51747,29.177,1,0,-0.032895,0.038463,-0.380481,0.0861,9.78448,0.0352442,2.1888,0.0710511,-0.000443845,-0.00150198,-0.00220084,210.774,54.2737,-999,-999,-9.0,0.0,250,0.00758935,10.677,0.0,55815.2,0.0579,101,88.3064,0.81222,0.0971,1.496,-0.0252,0.003,1.0,0.004,2011FE,10.677,0.00122,29.0559,28.67465445859984,0.3812455414001618,0.5613923032901891,52.0452903689892,,5.0,4.0,150.0,,-10.0,8.7,nan,True,True,True,True,True,3.8163646019214803,1.0,1.9535519500609493,1.9535519500609493,0.29082496474166625,1.6987408261399561,0.02391109718286122,0.9760889028171388,0.40149336252209405,overflowing
2012cg,51,0.00256,0.00084,0.00256,2e-05,0.00144,2e-05,11.4703,0.781906,30.7233,0.782372,30.8433,1,0,0.10073,0.018231,0.49196,0.023545,11.8161,0.0237119,0.33695,0.00735879,-6.06025e-05,9.35054e-06,-0.000110842,186.803,9.4203,-999,-999,-9.0,0.0,250,0.0177724,9.633,0.002,56082.4,0.0278,165,233.5,0.000358347,0.0399,0.7134,0.0545,0.019,1.0,0.036,2012CG,9.633,0.00256,30.7233,30.286303903995343,0.4369960960046519,0.6171428578946792,50.726082647360805,,5.0,4.0,150.0,,-10.0,8.7,nan,True,True,True,True,True,0.34486558640587617,1.0,0.5872526223031383,0.5872526223031383,-0.23117503525833413,0.5106544541766421,0.9910262282433063,0.00897377175669371,0.0,filling/absorbing
2012cg,56,0.00256,0.00084,0.00256,2e-05,0.00144,2e-05,11.4919,0.798612,30.7449,0.799068,30.8433,1,0,0.12247,0.03903,0.71261,0.083554,11.8801,0.0359611,0.31765,0.0105211,0.000222656,-0.000136637,-0.000344022,186.803,9.4203,-999,-999,-9.0,0.0,250,0.0177724,9.633,0.004,56082.4,0.0667,55,100.122,0.000193186,0.0931,0.7134,0.0622,0.028,1.0,0.04,2012CG,9.633,0.00256,30.7449,30.286303903995343,0.4585960960046549,0.6387428578946821,50.224003076206124,,5.0,4.0,150.0,,-10.0,8.7,nan,True,True,True,True,True,0.34486558640587617,1.0,0.5872526223031383,0.5872526223031383,-0.23117503525833413,0.5106544541766421,0.9910262282433063,0.00897377175669371,0.0,filling/absorbing
1994DRichmond,50,0.00299,0.00084,0.00299,4e-05,0.00187,4e-05,11.5227,0.880798,30.7757,0.881212,-9.0,0,0,-0.111684,0.026044,-1.61803,0.049543,11.5334,0.0322548,0.43715,0.0129866,-9.88782e-05,-3.53658e-05,-0.000291408,188.51,7.7016,-999,-999,-9.0,0.0,250,0.0191036,8.46247,-9.0,49432.6,0.0522,146,109.839,0.98874,0.0567,0.611,0.065,0.009,1.0,0.006,1994DRICHMOND,8.46247,0.00299,30.7757,30.624180695428077,0.1515193045719272,0.3316660664619544,57.85310640747828,,5.0,4.0,150.0,,-10.0,8.7,nan,True,True,True,True,True,0.023287338656959623,1.0,0.15260190836991214,0.15260190836991214,-0.8164400352583338,0.13269731162601056,0.9999992755063954,7.24493604504544e-07,0.0,filling/absorbing
1981B,50,0.00317,0.00084,0.0035,1e-05,0.00236,1e-05,11.5416,0.613941,30.7946,0.614535,30.8338,1,0,-0.005137,0.03061,-0.445048,0.16526,11.6644,0.0335715,0.38748,0.0119811,0.000163537,-0.000145198,-0.000305876,188.623,2.1998,-999,-999,-9.0,97.8762,250,0.0157149,9.686,-9.0,44672.6,0.2973,41,43.226,0.37642,0.0732,0.5763,0.0206,0.007,1.0,0.013,1981B,9.686,0.00317,30.7946,30.75142260728148,0.0431773927185226,0.2233241546085498,60.81280917826234,,5.0,4.0,150.0,,-10.0,8.7,nan,True,True,True,True,True,0.3896277306325985,1.0,0.6242017253233858,0.6242017253233858,-0.20467503525833367,0.5427841089768572,0.986310004385261,0.013689995614739022,0.0,filling/absorbing
2013aa,56,0.00331,0.00085,0.00478,0.00015,0.00411,0.00015,11.2074,0.59407,30.4604,0.594683,30.5454,1,0,-0.104394,0.054067,0.51292,0.15225,10.8911,0.10563,0.78986,0.0768433,0.00167787,-0.00136015,-0.00311121,218.141,-44.2244,-999,-999,-9.0,440.866,250,0.14605,10.53,0.0,56343.8,0.158,31,27.5263,0.6455,0.1104,0.5586,0.0298,0.003,1.0,0.003,2013AA,10.53,0.00331,30.4604,30.845500742537872,-0.3851007425378725,-0.2049539806478452,74.07142378803633,,5.0,4.0,150.0,,-10.0,8.7,nan,True,True,True,True,True,2.7205070705473138,1.0,1.6493961053299817,1.6493961053299817,0.21732496474166604,1.4342574828956365,0.07415626083754123,0.9258437391624588,0.28032245013054535,overflowing
2013aa,5,0.00331,0.00085,0.00478,0.00015,0.00411,0.00015,11.2998,0.579622,30.5528,0.580251,30.5454,1,0,-0.157707,0.03608,0.63346,0.13866,10.8438,0.10031,0.82505,0.0762215,0.000245825,-3.60292e-06,-0.00231699,218.141,-44.2244,-999,-999,-9.0,440.866,250,0.14605,10.53,-9.0,56348.8,0.119,56,35.0505,0.98728,0.062,0.5586,0.0727,0.007,1.0,0.003,2013AA,10.53,0.00331,30.5528,30.845500742537872,-0.2927007425378711,-0.1125539806478439,70.98567112390542,,5.0,4.0,150.0,,-10.0,8.7,nan,True,True,True,True,True,2.7205070705473138,1.0,1.6493961053299817,1.6493961053299817,0.21732496474166604,1.4342574828956365,0.07415626083754123,0.9258437391624588,0.28032245013054535,overflowing
2017cbv,5,0.00331,0.00085,0.00478,0.00015,0.00411,0.00015,11.1483,0.577815,30.4013,0.578445,30.5454,1,0,-0.125638,0.032337,0.61655,0.052564,10.7729,0.0944437,0.88076,0.0766133,-0.000340495,0.00052152,-0.00206456,218.143,-44.1341,-999,-999,-9.0,440.866,250,0.14511,10.449,-9.0,57840.6,0.0381,94,69.7345,0.9713,0.058,0.5586,0.0516,0.004,1.0,0.003,2017CBV,10.449,0.00331,30.4013,30.845500742537872,-0.4442007425378733,-0.2640539806478461,76.11507728143599,,5.0,4.0,150.0,,-10.0,8.7,nan,True,True,True,True,True,2.2576148805221044,1.0,1.502536271473143,1.502536271473143,0.17682496474166629,1.3065532795418635,0.13333958251035172,0.8666604174896483,0.20334233390293185,overflowing
2017cbv,18,0.00331,0.00085,0.00478,0.00015,0.00411,0.00015,11.2577,0.577916,30.5107,0.578546,30.5454,1,0,-0.096025,0.035108,0.81895,0.065942,10.914,0.0990172,0.77342,0.0705343,-0.00018429,0.000187787,-0.00208332,218.143,-44.1341,-999,-999,-9.0,440.866,250,0.14511,10.449,-9.0,57840.7,0.05,92,45.169,0.99999,0.0607,0.5586,0.0216,0.003,1.0,0.003,2017CBV,10.449,0.00331,30.5107,30.845500742537872,-0.3348007425378725,-0.1546539806478452,72.37535261963828,,5.0,4.0,150.0,,-10.0,8.7,nan,True,True,True,True,True,2.2576148805221044,1.0,1.502536271473143,1.502536271473143,0.17682496474166629,1.3065532795418635,0.13333958251035172,0.8666604174896483,0.20334233390293185,overflowing
