SNID,CID,n_entries,mean_z,min_z,max_z,logMstar,mean_mu_resid,std_mu_resid,mean_H0_proxy,is_calibrator,used_in_shoes_hf,abs_mean_mu_resid,nearby_bonus,priority_score
2011by,2011by,1,0.00349,0.00349,0.00349,10.417,1.0126574537414594,,42.27936011637878,1,0,1.0126574537414594,1.0,17.050629814965838
2012cg,2012cg,2,0.00256,0.00256,0.00256,9.633,0.6279428578946806,0.015273506473631512,50.475042861783464,1,0,0.6279428578946806,1.0,16.511771431578723
1990N,1990N,1,0.00359,0.00359,0.00359,9.802,0.8547449360388963,,45.46852954554254,1,0,0.8547449360388963,1.0,16.418979744155585
2003du,2003du,3,0.00747,0.00747,0.00747,9.345,0.32860441139698854,0.02600025640899188,57.937502338989454,1,0,0.32860441139698854,1.0,16.314417645587955
2012ht,2012ht,2,0.00465,0.00465,0.00465,9.53,0.5762293937025955,0.07219560235914656,51.70517617013961,1,0,0.5762293937025955,1.0,16.304917574810382
2001el,2001el,1,0.00333,0.00333,0.00333,11.28,0.8226313278816857,,46.14595422749319,1,0,0.8226313278816857,1.0,16.290525311526743
2009Y,2009Y,3,0.00996,0.00996,0.00996,10.636,-0.30425936511527313,0.12890315486183163,77.62821866360123,1,0,0.30425936511527313,1.0,16.217037460461093
2011fe,2011fe,2,0.00122,0.00122,0.00122,10.677,0.5327923032901882,0.04044650788387172,52.73987586355955,1,0,0.5327923032901882,1.0,16.131169213160753
2007af,2007af,4,0.00625,0.00625,0.00625,10.331,0.00012306898129567367,0.04206419696923494,67.40566280616251,1,0,0.00012306898129567367,1.0,16.000492275925183
1998aq,1998aq,1,0.00349,0.00349,0.00349,10.199,0.7160574537414615,,48.46725300756247,1,0,0.7160574537414615,1.0,15.864229814965846
2019np,2019np,2,0.00648,0.00648,0.00648,10.63,0.31791468849568183,0.019091883092037486,58.22176295042111,1,0,0.31791468849568183,1.0,15.271658753982727
2012fr,2012fr,2,0.00483,0.00483,0.00483,10.732,-0.3102422987413149,0.06385174234114721,77.7682322200694,1,0,0.3102422987413149,1.0,15.24096919496526
2009ig,2009ig,3,0.00815,0.00815,0.00815,9.906,-0.03501184969509257,0.19733758722892503,68.68702993252847,1,0,0.03501184969509257,1.0,15.14004739878037
2013dy,2013dy,2,0.00432,0.00432,0.00432,9.131,0.28472710440513005,0.043911331111685256,59.12332807814707,1,0,0.28472710440513005,1.0,15.13890841762052
2017erp,2017erp,3,0.006770000000000001,0.00677,0.00677,10.591,-0.034003571762373334,0.016353083297449722,68.46503403927382,1,0,0.034003571762373334,1.0,15.136014287049493
2007A,2007A,2,0.01682,0.01682,0.01682,10.123,0.2817553678102218,0.04893178925811062,59.20575884794354,1,0,0.2817553678102218,1.0,15.127021471240887
2002cr,2002cr,2,0.00954,0.00954,0.00954,10.426,0.26455882208440507,0.011313708498983534,59.669318740053,1,0,0.26455882208440507,1.0,15.05823528833762
2006D,2006D,3,0.00925,0.00925,0.00925,9.554,-0.005293326766464467,0.012786842195529058,67.56527943574501,1,0,0.005293326766464467,1.0,15.021173307065858
2005cf,2005cf,3,0.0070999999999999995,0.0071,0.0071,9.184,-0.004134992351618233,0.007068238818831202,67.52870604446464,1,0,0.004134992351618233,1.0,15.016539969406473
2018gv,2018gv,3,0.00602,0.00602,0.00602,10.06,0.0036742675449784024,0.08296529394873564,67.31859071570176,1,0,0.0036742675449784024,1.0,15.014697070179913
2017cbv,2017cbv,2,0.00331,0.00331,0.00331,10.449,-0.20935398064784563,0.07735748186180892,74.24521495053713,1,0,0.20935398064784563,1.0,14.837415922591383
2007sr,2007sr,2,0.00571,0.00571,0.00571,10.682,-0.19885662802446005,0.03585031380615731,73.86876111273551,1,0,0.19885662802446005,1.0,14.79542651209784
1999dq,1999dq,2,0.01312,0.01312,0.01312,10.854,-0.17634322921185047,0.034153257531313555,73.10640031528106,1,0,0.17634322921185047,1.0,14.705372916847402
2013aa,2013aa,2,0.00331,0.00331,0.00331,10.53,-0.15875398064784454,0.0653366665816379,72.52854745597088,1,0,0.15875398064784454,1.0,14.635015922591379
1999cp,1999cp,2,0.00954,0.00954,0.00954,10.441,0.15235882208441076,0.122753737213985,62.883253626508676,1,0,0.15235882208441076,1.0,14.609435288337643
2002dp,2002dp,2,0.01061,0.01061,0.01061,10.53,0.1298996950808817,0.06187184335382192,63.4991771266902,1,0,0.1298996950808817,1.0,14.519598780323527
2002fk,2002fk,2,0.00719,0.00719,0.00719,9.89,0.09691243114531464,0.015485638507981934,64.45890624153431,1,0,0.09691243114531464,1.0,14.387649724581259
1997bp,1997bp,1,0.00864,0.00864,0.00864,9.75,-0.3378736301268308,,78.74710969349937,1,0,0.3378736301268308,1.0,14.351494520507323
1998dh,1998dh,2,0.00814,0.00814,0.00814,10.935,0.038354130352191304,0.07162991693419854,66.2379986277853,1,0,0.038354130352191304,1.0,14.153416521408765
2005df,2005df,1,0.00407,0.00407,0.00407,10.375,0.277841911211679,,59.30502786410644,1,0,0.277841911211679,1.0,14.111367644846716
2015F,2015F,2,0.00488,0.00488,0.00488,12.198,-0.017789297222558148,0.06484169183480845,67.96957583507125,1,0,0.017789297222558148,1.0,14.071157188890233
1994ae,1994ae,1,0.00588,0.00588,0.00588,10.196,0.2648036335181043,,59.66218711661139,1,0,0.2648036335181043,1.0,14.059214534072417
2005df_ANU,2005df_ANU,1,0.00407,0.00407,0.00407,9.552,0.2624419112116793,,59.7271118058184,1,0,0.2624419112116793,1.0,14.049767644846717
1981B,1981B,1,0.00317,0.00317,0.00317,9.686,0.2233241546085498,,60.81280917826234,1,0,0.2233241546085498,1.0,13.8932966184342
1997bq,1997bq,1,0.01079,0.01079,0.01079,12.588,-0.175478777495849,,73.07278369521848,1,0,0.175478777495849,1.0,13.701915109983396
1995al,1995al,1,0.00673,0.00673,0.00673,10.296,0.1472977641502151,,62.97966463570913,1,0,0.1472977641502151,1.0,13.58919105660086
2006bh,2006bh,1,0.01028,0.01028,0.01028,10.501,0.1410078893521938,,63.16235564207235,1,0,0.1410078893521938,1.0,13.564031557408775
2005W,2005W,1,0.00855,0.00855,0.00855,10.827,0.1172140564391082,,63.858260657526905,1,0,0.1172140564391082,1.0,13.468856225756433
2021hpr,2021hpr,1,0.01044,0.01044,0.01044,6.952,-0.0846942023563972,,70.08074935906738,1,0,0.0846942023563972,1.0,13.338776809425589
2008fv_comb,2008fv_comb,1,0.01079,0.01079,0.01079,8.37261,-0.0628787774958485,,69.38021671030756,1,0,0.0628787774958485,1.0,13.251515109983394
2001bg,2001bg,1,0.00855,0.00855,0.00855,10.449,-0.0419859435608902,,68.71587567265095,1,0,0.0419859435608902,1.0,13.167943774243561
ASASSN-15so,ASASSN-15so,1,0.00857,0.00857,0.00857,10.95,0.0128072859007329,,67.00364660156545,1,0,0.0128072859007329,1.0,13.051229143602932
2007cq,2007cq,3,0.0251,0.0251,0.0251,9.36898,-0.20246047217894095,0.09626589911974778,74.03448624024648,0,1,0.20246047217894095,0.0,8.809841888715765
2005eq,2005eq,3,0.02823,0.02823,0.02823,10.3697,0.17938903914952972,0.029485985371583118,62.05958256926581,0,1,0.17938903914952972,0.0,8.71755615659812
2005na,2005na,3,0.02748,0.02748,0.02748,8.83614,-0.17489540245485038,0.023939994430518686,73.05610856214919,0,1,0.17489540245485038,0.0,8.699581609819402
2011dn,2011dn,1,0.02513,0.02513,0.02513,9.15925,-0.6448362947378374,,90.70414950510327,0,1,0.6448362947378374,0.0,8.57934517895135
2005M,2005M,3,0.02598,0.02598,0.02598,8.67964,-0.09801388536216331,0.23045759552102785,70.77869004516383,0,1,0.09801388536216331,0.0,8.392055541448654
2007bd,2007bd,3,0.031199999999999995,0.0312,0.0312,10.4344,-0.06304730290998066,0.05193996534461975,69.3987770785037,0,1,0.06304730290998066,0.0,8.252189211639923
2007co,2007co,3,0.02731,0.02731,0.02731,9.81719,-0.0598121418713706,0.11595080853534195,69.34816016544603,0,1,0.0598121418713706,0.0,8.239248567485483
2009D,2009D,3,0.02453,0.02453,0.02453,10.1971,-0.03905478002060587,0.06269149330916474,68.64223779769462,0,1,0.03905478002060587,0.0,8.156219120082424
2007jg,2007jg,2,0.03756,0.03756,0.03756,8.21426,0.28012176277721856,0.08117585848021742,59.26349440990852,0,1,0.28012176277721856,0.0,8.120487051108874
2008ar,2008ar,3,0.02849,0.02849,0.02849,9.98914,-0.018705151496805,0.07280840152985918,68.0085529710074,0,1,0.018705151496805,0.0,8.07482060598722
2004ef,2004ef,3,0.030119999999999997,0.03012,0.03012,10.3255,-0.011378445377182134,0.023156496568636796,67.75666448867254,0,1,0.011378445377182134,0.0,8.045513781508728
1998ab,1998ab,1,0.02873,0.02873,0.02873,10.3527,-0.4509749467385848,,82.95735294889344,0,1,0.4509749467385848,0.0,7.803899786954339
2002bf,2002bf,2,0.02525,0.02525,0.02525,10.3104,-0.18847535735635818,0.026728636328849524,73.51423088127031,0,1,0.18847535735635818,0.0,7.753901429425433
2007hx,2007hx,1,0.07875,0.07875,0.07875,10.2646,0.4271131398998431,,55.36525041519556,0,1,0.4271131398998431,0.0,7.7084525595993725
2007O,2007O,2,0.03818,0.03818,0.03818,10.8351,-0.1545669048958675,0.02269812767608803,72.37442734501089,0,1,0.1545669048958675,0.0,7.61826761958347
PS15cze,PS15cze,1,0.04035,0.04035,0.04035,10.4136,0.3927976417237584,,56.247130083153706,0,1,0.3927976417237584,0.0,7.571190566895034
ATLAS17bas,ATLAS17bas,1,0.02357,0.02357,0.02357,8.18544,-0.3899389377903208,,80.65804365896733,0,1,0.3899389377903208,0.0,7.559755751161283
