name,host_name,star_teff_k,star_class,star_mass_solar,star_radius_solar,star_luminosity_solar,star_age_gyr,planet_mass_earth,planet_radius_earth,semi_major_axis_au,orbital_period_days,eccentricity,insolation_earth,equilibrium_temp_k,density_earth,gravity_earth,atmosphere_score,magnetosphere_score,stellar_activity_score,rotation_period_days,volatile_flag,score_ecem_star,score_ecem_orbit,score_ecem_planet,score_ecem_thermal,score_ecem_atmosphere,score_ecem_magnetosphere,score_ecem_tidal,score_ecem_sigma,ECEM_base,flux_tension_proxy,score_flux_tension,score_flux_history,score_surface_state,flux_adjustment,ECEM_flux,score_ecee_thermal_balance,score_ecee_retention_capacity,score_ecee_rocky_boundary,score_ecee_magnetosphere_dynamo,score_ecee_tidal_stability,score_ecee_stellar_coherence,score_ecee_flux_history,retention_raw,thermal_envelope_proxy,tidal_strength_earth,ECEE_score,score_battery_core_heat,score_battery_core_to_stellar_balance,score_battery_geological_activity,score_battery_retention_capacity,score_battery_magnetosphere_dynamo,score_battery_rocky_boundary,score_battery_stellar_stress_resistance,core_heat_relative,core_to_stellar_ratio_relative,battery_lifetime_proxy,rocky_boundary_gate,planetary_battery_score,usable_battery_score,battery_coherence_score,branch_classification,rank_ECEM_flux,rank_ECEE,rank_battery,rank_usable_battery,rank_battery_coherence
Earth,,5772.0,G,1.0,1.0,1.0,4.57,1.0,1.0,1.0,365.25,0.0167,1.0,255.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.9993321551501553,1.0,1.0,1.0,1.0,1.0,0.9904123384430306,0.9993045282336097,1.0,1.0,0.8762843131994501,1.0,0.9548293564720582,0.9541652996129113,1.0,1.0,1.0,1.0,0.9991122622956241,1.0,0.8762843131994501,1.0,1.242601513195981,1.0,0.9946429996890765,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9866663747944046,Earth-like and Earth-equivalent benchmark,1,1,1,1,1
Kepler-452 b,,5757.0,G,1.04,1.11,1.2,6.0,5.0,1.63,1.046,384.8,0.05,1.1,265.0,1.15,1.88,0.72,0.75,0.92,,,0.9837388824341716,0.9817093521045718,0.4495197027035738,0.9750635967190999,0.72,0.75,0.9941557861317972,0.9190222631801247,0.8332021532769589,1.2640434782608694,0.9465761627939105,0.8308976432445754,1.0,0.9193821800418669,0.7660312120953482,0.801192695108591,0.6830300082548584,1.0,0.7578454856638887,0.9910556246934739,0.92,0.8308976432445754,4.681264555576783,1.7688119287765636,0.9087371561449571,0.8236139766062537,0.8016178665800459,0.8021945399546484,0.8636249563719218,0.6830300082548584,0.7578454856638887,1.0,0.9742074393818333,2.386765934747294,2.1697872134066305,2.4002399229000164,1.0,0.8105649272821506,0.8105649272821506,0.803998665748886,Earth-like and Earth-equivalent benchmark,2,2,4,4,2
Kepler-442 b,,4402.0,K,0.61,0.6,0.12,5.0,2.36,1.34,0.409,112.3,0.04,0.7,233.0,0.98,1.31,0.72,0.7,0.96,,,0.4656314807301631,0.5712756968492052,0.7418939787342536,0.7465764637542069,0.72,0.7,0.04672820202571866,0.9853783724915812,0.62025324195899,0.9643892214078144,0.9986860539598311,0.9257529663866376,1.0,0.9729117179523198,0.6034516471998168,0.8654936195056763,0.9649807617238125,1.0,0.7653851946250279,0.271955786713623,1.0,0.9257529663866376,1.6032151508240535,0.9344030829979244,8.915791648706586,0.8097209419840349,0.9533917157212489,0.8084549352925157,0.9641752147100617,0.9649807617238125,0.7653851946250279,1.0,0.9224505268721053,1.498059651040773,2.140085215772533,1.6073896967339139,1.0,0.9081386043509247,0.9081386043509247,0.7975206832347363,outer super-Earth usable rocky-battery candidate,3,3,2,2,3
Kepler-62 e,,4925.0,K,0.69,0.64,0.21,7.0,4.5,1.61,0.427,122.4,0.05,1.2,267.0,1.08,1.74,0.68,0.73,0.95,,,0.5710969482371109,0.6804588671143709,0.48832173655255723,0.9242296446030756,0.68,0.73,0.04751543116834917,0.9996561353132413,0.6359287732346778,1.8007411770306214,0.7075285525928224,0.9410666155760795,1.0,0.8673163195295623,0.5515514030848504,0.8365241739984582,0.8913180261869771,1.0,0.7511664443226131,0.2696539704776942,0.9974999999999999,0.9410666155760795,2.3349493755439847,1.7058721497922857,8.862688099797671,0.786130613113651,0.8773628571432949,0.9166236210135132,0.908967150092564,0.8913180261869771,0.7511664443226131,1.0,0.9152371273048916,1.9526057809022506,1.627171484085209,2.1199873936972233,1.0,0.8887659603208096,0.8887659603208096,0.7685399494893144,outer super-Earth usable rocky-battery candidate,4,4,3,3,4
Kepler-62 f,,4925.0,K,0.69,0.64,0.21,7.0,3.0,1.41,0.718,267.3,0.05,0.41,204.0,1.07,1.51,0.66,0.72,0.95,,,0.5710969482371109,0.5402452936557243,0.6343160092649754,0.24822433451014658,0.66,0.72,0.7801743373846877,0.9740106554049225,0.5964025393901546,0.5102736487407336,0.6359274584759814,0.9410666155760795,1.0,0.8355256378716003,0.49830961215220115,0.493828720770338,0.6758280002852269,1.0,0.8027219881533174,0.8150576585060141,0.9974999999999999,0.9410666155760795,4.782108368746872,0.6618092633696744,1.864128121125923,0.7385217359688542,0.9436423308081306,0.5185306525243533,0.9573453376203416,0.6758280002852269,0.8027219881533174,1.0,0.9737296394457582,1.5613799283881864,3.808243727776065,1.6715386114265571,1.0,0.7953687542400708,0.7953687542400708,0.7012075123231776,outer super-Earth usable rocky-battery candidate,6,6,5,5,5
Outer Super-Earth Test,,5000.0,K,0.75,0.75,0.35,6.0,4.5,1.6,0.85,330.0,0.05,0.48,212.0,1.1,1.76,0.75,0.8,0.97,,,0.6505292827864053,0.6332427876086704,0.4863966401051314,0.34912277748536846,0.75,0.8,0.9747561543641141,0.847298590653357,0.6383153788705914,0.5358499517202502,0.6775631095163335,0.9522338302779277,1.0,0.8578131029045997,0.5475552957807072,0.8055563280750464,0.44084419271354963,1.0,0.8056414483271244,0.9716325606323204,1.0,0.9522338302779277,9.60759133199472,0.8767437445761076,1.2212497455729698,0.7563613586398807,0.8411107506310328,0.4359076637064447,0.8876393566841485,0.44084419271354963,0.8056414483271244,1.0,0.9864536409173064,2.158787013048251,4.497472943850523,2.245874580935776,1.0,0.693149626432557,0.693149626432557,0.6788751500421577,outer super-Earth usable rocky-battery candidate,5,5,7,7,6
TOI-700 d,,3480.0,M,0.42,0.42,0.023,2.0,1.7,1.19,0.163,37.4,0.05,0.86,246.0,1.01,1.2,0.72,0.5,0.68,,,0.2549868389994368,0.5688587478640086,0.8815978606492847,0.9479284427132351,0.72,0.5,1.5261565534189429e-06,0.7472210200680476,0.6014234490487628,2.1897367937340126,0.541012331591661,0.3905880779434186,1.0,0.5803956537255728,0.34906355587654536,0.8947679779275651,0.4904508989582559,1.0,0.5467443849782051,0.24215419084719728,0.476,0.3905880779434186,0.429963159320191,0.9676522530492664,96.98095963583187,0.5952447101387313,0.9280568160941399,0.8536595091911732,0.9546867931829615,0.4904508989582559,0.5467443849782051,1.0,0.5213637427147807,1.657816767459265,1.9276939156503081,1.5738285160720238,1.0,0.7666332479209857,0.7666332479209857,0.6022548366860866,partial / insufficient-data coherence candidate,8,8,6,6,7
LHS 1140 b,,3216.0,M,0.18,0.21,0.0044,5.0,5.6,1.73,0.094,24.7,0.04,0.5,230.0,1.08,1.87,0.68,0.55,0.62,,,0.24660610526559754,0.2648243135495564,0.42750116474253774,0.44373093833398747,0.68,0.55,9.10301933500894e-09,0.9855923085945176,0.40833343354574336,1.5641966075805536,0.8186144911365301,0.46634805681726876,1.0,0.7138818820204791,0.2915018400315195,0.6552492730697463,0.7783130177127027,1.0,0.4991165564659874,0.24494966987667643,0.434,0.46634805681726876,3.49581055864084,0.7630505458297574,216.714986082082,0.6136065952524481,0.7662925141135336,0.3689364773949358,0.835473839667638,0.7783130177127027,0.4991165564659874,1.0,0.4010809172555162,2.597330085496062,5.194660170992124,2.691204968211721,1.0,0.6502258243902372,0.6502258243902372,0.5477280981023316,dense M-dwarf retained usable-battery branch,10,7,8,8,8
Cold Dense Super-Earth Test,,4850.0,K,0.72,0.72,0.28,6.5,5.2,1.72,0.95,398.0,0.04,0.31,190.0,1.02,1.76,0.78,0.82,0.96,,,0.5938670133707401,0.5540458845688517,0.4522514350154252,0.14072576944450066,0.78,0.82,0.9806732949399123,0.7491730341701743,0.5792580930321218,0.34784583333333335,0.3278735210774085,0.9474012204125366,1.0,0.6641774088993337,0.3847301393140439,0.45231564352402703,0.2451067044044077,1.0,0.8233179120979952,0.9912993479507513,1.0,0.9474012204125366,19.38378216722869,0.6370992458268389,0.8397725615979007,0.5814383834613096,0.8529319248613384,0.2622025756496557,0.8877534651979295,0.2451067044044077,0.8233179120979952,1.0,0.9896140395212855,2.091453110444073,6.746622936916364,2.3554760349583246,1.0,0.5792046140683353,0.5792046140683353,0.5313678146673035,partial / insufficient-data coherence candidate,7,9,9,9,9
Proxima Centauri b,,3042.0,M,0.122,0.154,0.00155,4.8,1.27,1.08,0.0485,11.2,0.11,0.65,234.0,1.0,1.09,0.48,0.3,0.28,,,0.24584790251302663,0.39234446822875974,0.973397582187748,0.6743788655765195,0.48,0.3,3.007827029095001e-14,0.2970252215520615,0.47540378795089444,5.410391858926775,0.05781947839791808,0.20949753465112483,1.0,0.21337256604639573,0.10143812614325894,0.5129292419471337,0.006979116856459058,1.0,0.3390825365063758,0.21424584909439748,0.196,0.20949753465112483,0.10772317919874881,0.673274778536563,1069.386297173248,0.15932590609786415,0.9962277723016373,0.8968149121684242,0.9972374602256648,0.006979116856459058,0.3390825365063758,1.0,0.05011359255120903,1.1204512787688068,1.7237711981058566,1.1347105786075538,1.0,0.3447879682388484,0.3447879682388484,0.21903878596560655,compact M-dwarf high-tidal branch,14,11,11,10,10
K2-18 b,,3457.0,M,0.5,0.47,0.023,2.4,8.6,2.61,0.142,33.0,0.05,1.0,255.0,0.48,1.26,0.4,0.45,0.55,,sub-Neptune,0.27193830248559103,0.5952313238888308,0.3059328177212259,1.0,0.4,0.45,3.9074001921092055e-08,0.4775098710149029,0.4593702692743191,3.378235388591868,0.22719433168738595,0.34238639378029284,1.0,0.4090909729159869,0.18792423038611009,0.9996168065067249,0.9887596805240843,0.04726115890525223,0.47494279309832277,0.24215383139239696,0.385,0.34238639378029284,0.8991367645774491,1.2244898069744095,174.6244178021911,0.3995327472501608,0.7946928608241147,0.7946928608241147,0.7196184799356514,0.9887596805240843,0.47494279309832277,0.04726115890525223,0.3396189181904579,0.6653327223033052,0.6653327223033052,1.3494111345177784,0.04726115890525223,0.5539361747476987,0.026179665578118558,0.19728938536533122,volatile/sub-Neptune wrong-boundary control,12,10,10,14,11
TRAPPIST-1 e,,2559.0,M,0.089,0.12,0.00055,7.6,0.77,0.92,0.029,6.1,0.006,0.66,230.0,0.99,0.91,0.55,0.35,0.38,,,0.24511551314392307,0.4284798195043019,0.9684260714749329,0.6782648422052797,0.55,0.35,1.9973043394839442e-19,0.22105496678775427,0.4888819183952943,5.210830536918327,0.06555012981025221,0.29453167328261154,1.0,0.25118687693037534,0.12280072226944459,0.513134080069464,0.0003554895367774404,1.0,0.30568172090827206,0.24988523043380476,0.26599999999999996,0.29453167328261154,0.059715835615930184,0.673398183085195,3649.1861084915327,0.08108057541502929,0.7996767305830842,0.9999317811254587,0.8943454665460469,0.0003554895367774404,0.30568172090827206,1.0,0.07233663706795868,0.6690562892230512,1.0137216503379562,0.7247491638572657,1.0,0.20447761182975194,0.20447761182975194,0.14086942669452218,compact M-dwarf high-tidal branch,13,12,12,11,12
Venus,,5772.0,G,1.0,1.0,1.0,4.57,0.815,0.949,0.723,224.7,0.007,1.91,260.0,0.95,0.904,0.08,0.1,1.0,243.0,,1.0,0.6210751082739414,0.97849245445141,0.5113655057637828,0.08,0.1,0.5455536655181689,0.052968813451117196,0.5843357541460134,2.146562708407378,0.5579454672754021,0.8762843131994501,0.1318363343287322,0.4238804752316542,0.24768851716225918,0.09478236331771743,5.549031477511389e-16,1.0,0.4437573309533762,0.6384517228341837,1.0,0.8762843131994501,0.002666827302725562,1.9117804010945225,2.645971171397924,0.018352660923771195,0.9678682784852122,0.41172670686572505,0.98327628876463,5.549031477511389e-16,0.4437573309533762,1.0,0.8966123051675972,0.8576055975079475,0.4490081662345275,0.8821081747799824,1.0,0.08355115501621738,0.08355115501621738,0.10176602262037165,Venus/runaway over-flux branch,11,13,13,12,13
Mars,,5772.0,G,1.0,1.0,1.0,4.57,0.107,0.532,1.524,687.0,0.093,0.43,210.0,0.71,0.379,0.18,0.12,1.0,1.03,,1.0,0.4829128678007356,0.27496455879016396,0.29193243724911533,0.18,0.12,0.3596764827905412,0.029071352685120302,0.3978068777855886,0.43,0.4905218377539672,0.8762843131994501,1.0,0.7441426291813663,0.29602505594179834,0.1355105931753299,2.1419062069961944e-16,1.0,0.11349214570068565,0.8047040693712537,1.0,0.8762843131994501,0.002462359834228177,0.4303701296456497,0.2825173337719087,0.01678799179994493,0.0434442241316312,0.5458787289849767,0.32732693646853256,2.1419062069961944e-16,0.11349214570068565,1.0,0.796059896821493,0.22194831680907404,0.5161588763001722,0.2608801246247226,1.0,0.03078596716597562,0.03078596716597562,0.09219644798182056,Mars/freeze-out weak-battery branch,9,14,14,13,14
