rank_flux,rank_base,name,star_class,star_mass_solar,star_radius_solar,star_teff_k,star_luminosity_solar,star_age_gyr,planet_mass_earth,planet_radius_earth,semi_major_axis_au,orbital_period_days,eccentricity,insolation_earth,equilibrium_temp_k,rotation_period_days,atmosphere_score,magnetosphere_score,surface_state_score,has_large_moon,stellar_activity_raw,semi_major_axis_au_inferred,insolation_earth_inferred,equilibrium_temp_k_inferred,density_earth_inferred,surface_gravity_earth_inferred,score_star,score_orbit,score_planet,score_thermal,score_atmosphere,score_magnetosphere,score_tidal,score_surface_state,score_sigma,sigma_proxy,ECEM_base,star_class_inferred,star_class_coherence,score_stellar_activity,tidal_strength_earth,flux_tension_proxy,score_flux_tension,score_tidal_damage,score_flux_history,flux_adjustment,ECEM_flux,classification
1,1,Earth,G,1.0,1.0,5772,1.0,4.57,1.0,1.0,1.0,365.25,0.0167,1.0,255.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,255.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,G,1.0,1.0,1.0,1.0,1.0,1.0,0.9809999999999999,0.99772,0.99772,high Earth-envelope flux match
2,2,Kepler-452 b,G,1.04,1.11,5757,1.2,6.0,5.0,1.63,1.05,384.8,,1.1,,,,,,,1.0,1.05,1.1,261.1489907165335,1.1545352337599037,1.8818924310286425,0.9860677851328087,0.8748157613349832,0.3980819866852757,0.9823306480061151,0.7626983811378012,0.5398431978771392,0.6747011626048182,0.8169618645764101,0.7778221897277501,0.7518910610961773,0.7527663495520034,G,1.0,1.0,0.898391102472735,1.08594677076473,0.9958122706755703,0.9990038753493939,0.9443923729152819,0.95928957873161,0.7221209143450732,high Earth-envelope flux match
3,3,Kepler-442 b,K,0.61,0.6,4400,0.12,3.0,2.3,1.34,0.409,112.3,0.04,0.7,,,,,,,0.85,0.409,0.7,233.24626090331708,0.9559021555177994,1.2809088883938513,0.5434338497941935,0.7381260744125167,0.6773660985557786,0.7861851058251523,0.9089996825319595,0.6388731245663084,0.6834170825000433,0.7997078114207661,0.7218050938582613,0.7173871344730799,0.7119245699398871,K,1.0,0.9734085177898842,8.915791648706586,0.7736350812709168,0.9601539965648407,0.6600093875236412,0.9345596065537255,0.8855413116339516,0.6304386174490044,candidate coherence-envelope analog
4,6,Kepler-62 e,K,0.69,0.64,4925,0.21,7.0,4.5,1.61,0.427,122.4,,1.2,,,,,,,0.85,0.427,1.2,266.89196054498694,1.078288282049543,1.7360441340997645,0.7247922105484146,0.7396854789815293,0.42968598187613466,0.9367702577083968,0.7924301569305542,0.5561249402450876,0.5734519961414116,0.8101221589434899,0.6940191214026878,0.7008551140862406,0.6840877727501201,K,1.0,0.9734085177898842,8.862688099797671,1.325281170663714,0.9522208408695051,0.6615066538047054,0.9366424760582702,0.8861750795433944,0.6062215364315012,candidate coherence-envelope analog
5,5,TOI-700 d,M,0.416,0.42,3480,0.023,1.5,1.7,1.14,0.163,37.4,0.03,0.86,,37.4,,,,,1.45,0.163,0.86,245.56405328744844,1.147451577543428,1.3080947983995077,0.1778680297301443,0.776240847848896,0.8298691103269669,0.9568873472394238,0.9514201652962735,0.3954714136635833,0.43807221029795823,0.8426906468441532,0.6513272770732249,0.6758980975550108,0.6864513264130111,M,0.7,0.8685961278563339,96.05733144882394,2.156602555850057,0.6944775353101194,0.1297545133559854,0.8640012000543508,0.6724972046556634,0.46163659814492236,partial ECEM analog / needs data
6,12,Kepler-62 f,K,0.69,0.64,4925,0.21,7.0,2.8,1.41,0.718,267.3,,0.41,,,,,,,0.85,0.718,0.41,204.0497864588618,0.9988509646581558,1.4083798601679998,0.7247922105484146,0.3935636294809699,0.5900676419644325,0.2756726051631009,0.7443185680911386,0.6018118968260957,0.6650673269823069,0.504926550520513,0.4620845254371027,0.5650956139102855,0.5446710741757812,K,1.0,0.9734085177898842,1.864128121125923,0.37554317477045424,0.5531689334392283,0.9668910899410228,0.8756033543736749,0.78803910993362,0.42922210850007136,partial ECEM analog / needs data
7,9,Venus,G,1.0,1.0,5772,1.0,4.57,0.815,0.949,0.723,224.7,0.0068,1.91,,243.0,0.35,0.05,0.1,0.0,1.0,0.723,1.91,299.7771471184167,0.9535840350066949,0.9049512492213534,1.0,0.6248481032145063,0.9711537138134951,0.4444808162283647,0.35,0.05,0.5259574885221574,0.1,0.40215791846865956,0.5275880434461829,0.6071296735010734,G,1.0,1.0,2.645971171397924,2.146562708407378,0.6975497005790767,0.7132990455001659,0.8009999999999999,0.698841771862425,0.4242875767797457,Venus-like failed coherence branch
8,4,TOI-700 e,M,0.416,0.42,3480,0.023,1.5,0.95,0.95,0.134,27.8,0.05,1.27,,27.8,,,,,1.45,0.134,1.27,270.70177949447276,1.10803324099723,1.0526315789473684,0.1778680297301443,0.726640744080678,0.9880838942641537,0.8938136153328933,0.9824554320925627,0.47720015260298504,0.41749877453163764,0.8415155586527959,0.6951141905576788,0.7015014400898009,0.7110550702710188,M,0.7,0.8685961278563339,172.89360725887155,3.417473813478389,0.39367809002955223,0.07005211441978396,0.8637661824160794,0.5959322008837477,0.42374061297615606,compact M-dwarf high-tidal branch
9,14,Kepler-186 f,M,0.54,0.52,3755,0.041,4.0,1.4,1.17,0.43,129.9,,0.32,,,,,,,1.305,0.43,0.32,191.79075774740608,0.8741187790059147,1.0227189714369203,0.2714064373291088,0.25648027142997487,0.9074810321846569,0.15684984541354313,0.7686753083688086,0.7623112432842161,0.5931550824055529,0.4920810370220206,0.41540991390860926,0.5360712037785387,0.5083470948190707,M,0.7,0.9302422301692757,6.791854805237276,0.5255319171206064,0.7745377627518655,0.6544652472166588,0.8086743426450304,0.7188092421390011,0.36540458997045916,partial ECEM analog / needs data
10,10,Wolf 1061 c,M,0.29,0.31,3342,0.0079,5.0,4.3,1.6,0.089,17.9,0.11,1.0,,17.9,,,,,1.45,0.089,1.0,255.0,1.0498046874999998,1.6796874999999996,0.17015139679444038,0.7690843902953214,0.4427224422451906,1.0,0.8161480550134738,0.3647412522758913,0.3801097788239254,0.8086000697098941,0.49901839413899196,0.5873227424881955,0.5845798205823695,M,0.7,0.8685961278563339,411.36560614722066,2.985900693040302,0.47775628292025313,0.02659632230763558,0.857183084627499,0.6003271589162846,0.35093914285000527,compact M-dwarf high-tidal branch
