name,Mb,Mstar,Rb,Sigma_b,V_obs,V_b,age_gyr,Morphology_T,Mgas,Galaxy,L_chi,D_hist,G_bound,V_b_safe,Y_residual,D_hist_residual,Y_residual_controlled
D631-7,483700000.0,98000000.0,0.7,157108665.25214243,57.7,54.51539975089607,6.0,10.0,385700000.0,D631-7,16.350361043088228,88200000.0,0.00020395972462725008,54.51539975089607,0.12024554181699966,230182215.56555533,0.14574777385564375
DDO064,359130000.0,78500000.0,0.69,120053170.9989338,46.1,47.31310766538721,6.0,10.0,280630000.0,DDO064,16.467380404559826,70650000.0,0.00013087699769964478,47.31310766538721,-0.05062257330077269,430596895.4445448,-0.03748804245556277
DDO154,392250000.00000006,26500000.0,0.37,456015532.7085169,47.0,67.52440895005341,6.0,10.0,365750000.00000006,DDO154,7.9361281373590895,23850000.0,1.4916472193222402e-05,67.52440895005341,-0.515521919302598,-1074507107.5019295,-0.34767893010894557
DDO161,2106740000.0,274000000.0,1.22,225274176.84051305,66.3,86.17984974915473,6.0,10.0,1832740000.0,DDO161,27.686511360716363,246600000.0,0.0015921719052494959,86.17984974915473,-0.40814463100775167,-716114956.9941386,-0.41156960857348757
DDO168,644790000.0,95500000.0,1.02,98636597.22820376,53.4,52.14218644020124,6.0,10.0,549290000.0,DDO168,24.72876590833614,85950000.0,0.00019368833703577122,52.14218644020124,0.048827431887784385,847973786.0093963,0.0167839900401238
DDO170,1249050000.0,271500000.0,1.95,52279416.61247388,60.0,52.48712484615046,6.0,10.0,977550000.0,DDO170,49.7385901449176,244350000.0,0.0015632954332183606,52.48712484615046,0.3067633143378411,2370649122.635412,0.15104432694021996
ESO079-G014,30042700000.0,25866500000.0,5.08,185281333.6547091,175.0,159.48425048559733,9.3,4.0,4176200000.000001,ESO079-G014,117.10151046882852,36083767500.0,0.9715459710446868,159.48425048559733,0.20403883243808982,7443354666.404442,-0.10814151096077171
ESO116-G012,3586390000.0,2146000000.0,1.51,250336255.5832387,109.1,101.06958004200644,7.649999999999999,7.0,1440390000.0,ESO116-G012,33.97976455183378,2462534999.9999995,0.1372045473772587,101.06958004200644,0.165221740107461,165116602.43239355,0.14461321472392874
ESO563-G021,187904840000.0,155588500000.0,5.45,1006850740.4054104,314.6,385.07995247607016,9.3,4.0,32316340000.0,ESO563-G021,109.71970036807878,217045957500.0,0.9991911847026377,385.07995247607016,-0.3325547948531355,-17498058869.13318,0.537860987200302
F561-1,4195760000.000001,2038500000.0,2.79,85787174.37176435,50.0,80.423578769406,6.55,9.0,2157260000.0000005,F561-1,68.39994182547568,2002826250.0,0.09517977693286031,80.423578769406,-0.6134788892270602,2084559173.73959,-0.8404898075175382
F563-1,5207500000.0,951500000.0,3.52,66890444.71131238,109.9,79.76704154093457,6.55,9.0,4256000000.0,F563-1,88.03165262248727,934848750.0,0.02240462483040859,79.76704154093457,0.898228173983116,1352669736.1990423,0.5833990693948252
F563-V2,4377770000.0,1493000000.0,2.43,117994163.35914354,116.6,88.02448866779253,6.0,10.0,2884770000.0,F563-V2,58.074134989147346,1343700000.0,0.04520739828309186,88.02448866779253,0.7546482959562334,327133981.05418706,0.5829295917483857
F568-V1,5225530000.0,1912500000.0,2.85,102390757.7439202,112.3,88.8020353652862,7.649999999999999,7.0,3313030000.0000005,F568-V1,68.88891070570453,2194593749.9999995,0.11213726022082911,88.8020353652862,0.5992401056456401,1036422281.0046644,0.37694529151577405
F571-8,7452060000.0,5082000000.0,3.56,93582895.56380108,139.7,94.88407974139172,8.75,5.0,2370060000.0,F571-8,86.67215558243686,6670125000.0,0.53847126094803,94.88407974139172,1.1677346148376837,4205217857.769665,0.8707581133001205
F571-V1,2543110000.0,924500000.0,2.47,66342429.36721301,83.6,66.54482289015262,7.649999999999999,7.0,1618610000.0,F571-V1,61.81287757177148,1060863749.9999998,0.02866706097112151,66.54482289015262,0.5782798352922162,2623915564.518491,0.3729514470696649
F574-1,7955420000.000001,3268500000.0,4.46,63652215.878668696,97.8,87.58793842700247,7.649999999999999,7.0,4686920000.000001,F574-1,111.98377271098423,3750603749.9999995,0.26948171029511464,87.58793842700247,0.2467779151593987,2680135597.489468,-0.16520499007679326
F579-V1,8909850000.0,5924000000.0,3.37,124862125.20206426,112.1,106.63515958256365,8.75,5.0,2985850000.0,F579-V1,80.17533093579137,7775250000.0,0.6132048482830985,106.63515958256365,0.1051223921886579,2932313673.3313246,-0.14960020773698532
F583-1,3320580000.0,493000000.0,2.36,94887733.57729208,85.8,77.7913215928968,6.55,9.0,2827580000.0,F583-1,57.39320996573713,484372500.0,0.006114922552691403,77.7913215928968,0.21650045633330706,734996561.1167336,0.03884832211091466
IC2574,1885880000.0,508000000.0,2.78,38836903.37950206,66.4,54.01505302714402,6.55,9.0,1377880000.0000002,IC2574,72.61570305604471,499110000.0,0.006490236408845657,54.01505302714402,0.5111464150066727,3657336509.884996,0.2552957096534974
IC4202,106268080000.0,89874500000.0,4.78,740230835.6333476,242.6,309.2200499978445,9.3,4.0,16393580000.0,IC4202,98.62882084767027,125374927500.00002,0.9975799158190645,309.2200499978445,-0.3844741437494247,-4078035636.6239777,-0.0136207570905858
KK98-251,195450000.0,42500000.0,1.34,17323921.601309277,33.7,25.046417497870067,6.0,10.0,152950000.0,KK98-251,37.33691402525435,38250000.0,3.836560498748604e-05,25.046417497870067,0.8103751123973861,2261201282.202966,0.709238882816645
NGC0024,2843580000.0,1944500000.0,1.34,252043780.95191115,106.3,95.53455910524126,8.75,5.0,899080000.0000001,NGC0024,30.137834083119845,2552156250.0,0.14588960858547342,95.53455910524126,0.23807091651221304,840758317.2231712,0.23395291835545984
NGC0055,4395450000.0,2314000000.0,6.11,18738768.90432821,85.6,55.62387549682614,6.55,9.0,2081450000.0,NGC0055,169.17930790316603,2273505000.0,0.11936659780057216,55.62387549682614,1.368236338866367,9559395662.642567,0.7220866136633765
NGC0100,4262700000.0,1616000000.0,1.66,246200383.18980345,88.1,105.09172429960915,8.2,6.0,2646700000.0,NGC0100,37.40505590999976,1987679999.9999995,0.09388027528791983,105.09172429960915,-0.297227463908154,-848387095.1463399,-0.333171354584018
NGC0247,5988180000.0,3666000000.0,3.74,68135237.43344289,104.9,82.98350980412773,7.649999999999999,7.0,2322180000.0,NGC0247,93.39576386472154,4206734999.999999,0.31697387007896066,82.98350980412773,0.5979654219910748,4093394458.299978,0.2619123876618778
