Galaxy,SPARC_name,match_key,ngc_id,ugc_id,ic_id,pgc_id,Mb_proxy_Msun,Mstar_proxy_Msun,Mgas_proxy_Msun,Rb_kpc,Sigma_b_Msun_kpc2,V_obs_kms,V_b_kms,morphology_age_gyr,Morphology_T,z0mgs_match_status,z0mgs_match_method,z0mgs_PGC,z0mgs_NGC,z0mgs_UGC,z0mgs_IC,z0mgs_Dist_Mpc,z0mgs_e_Dist_dex,z0mgs_logMstar,z0mgs_e_logMstar,z0mgs_GammaStar,z0mgs_method_GammaStar,z0mgs_logSFR,z0mgs_e_logSFR,z0mgs_method_logSFR,z0mgs_DelMS,z0mgs_Flags,z0mgs_Mstar_Msun,z0mgs_SFR_Msun_yr,z0mgs_sSFR_yr,final_Mstar_for_SFH_Msun,final_SFR_for_SFH_Msun_yr,final_sSFR_for_SFH_yr,SFH_source,source_sparc_proxy_file,source_z0mgs_catalog,source_z0mgs_url
D631-7,D631-7,D631-7,,,,,483700000.0,98000000.0,385700000.0,0.7,157108665.25214243,57.7,54.51539975089607,6.0,10.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,98000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
DDO064,DDO064,DDO064,,,,,359130000.0,78500000.0,280630000.0,0.69,120053170.9989338,46.1,47.31310766538721,6.0,10.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,78500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
DDO154,DDO154,DDO154,,,,,392250000.00000006,26500000.0,365750000.00000006,0.37,456015532.7085169,47.0,67.52440895005341,6.0,10.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,26500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
DDO161,DDO161,DDO161,,,,,2106740000.0,274000000.0,1832740000.0,1.22,225274176.84051305,66.3,86.17984974915473,6.0,10.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,274000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
DDO168,DDO168,DDO168,,,,,644790000.0,95500000.0,549290000.0,1.02,98636597.22820376,53.4,52.14218644020124,6.0,10.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,95500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
DDO170,DDO170,DDO170,,,,,1249050000.0,271500000.0,977550000.0,1.95,52279416.61247388,60.0,52.48712484615046,6.0,10.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,271500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
ESO079-G014,ESO079-G014,ESO079-G014,,,,,30042700000.0,25866500000.0,4176200000.000001,5.08,185281333.6547091,175.0,159.48425048559733,9.3,4.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,25866500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
ESO116-G012,ESO116-G012,ESO116-G012,,,,,3586390000.0,2146000000.0,1440390000.0,1.51,250336255.5832387,109.1,101.06958004200644,7.649999999999999,7.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,2146000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
ESO563-G021,ESO563-G021,ESO563-G021,,,,,187904840000.0,155588500000.0,32316340000.0,5.45,1006850740.4054104,314.6,385.07995247607016,9.3,4.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,155588500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
F561-1,F561-1,F561-1,,,,,4195760000.000001,2038500000.0,2157260000.0000005,2.79,85787174.37176435,50.0,80.423578769406,6.55,9.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,2038500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
