PGC,NGC,UGC,IC,ra,dec,Dist,logMstar,logSFR,GammaStar,PGC_NAME
4,,,,0.0143069997,23.0876083,65.8566589,9.28050423,-1.2829572,0.462042391,PGC4
38,,,,0.118754998,17.2202682,17.2266121,9.04426479,-1.66487348,0.5,PGC38
43,,,,0.122823,-40.4844284,43.4110146,9.58776093,-0.3239802419999999,0.2922467289999999,PGC43
55,,,,0.155919001,33.6009483,71.219696,9.15418816,-0.595694304,0.254239678,PGC55
94,,,,0.5108354689999999,80.6419678,63.4745903,9.2969265,-0.8057190779999999,0.3394507769999999,PGC94
102,,,,0.3323339819999999,34.5257225,74.81687929999998,10.695178,-0.101627558,0.5,PGC102
109,,,,0.3615450259999999,31.4337502,71.8124466,10.7463226,-0.8816726799999999,0.5,PGC109
112,,,,0.375469506,31.4419155,71.219696,10.6531754,-0.206151158,0.5,PGC112
120,,,,0.409658998,23.483593,55.3604774,10.8646727,0.347739279,0.4491891559999999,PGC120
129,,,,0.424690485,23.4958153,64.6844788,10.5619154,0.702802539,0.279673308,PGC129
143,,,,0.492407978,-15.4608965,0.980000019,7.31066036,-2.46090317,0.259214282,PGC143
171,,,,0.5876489879999999,77.2568665,39.3187523,9.74106979,-0.345762789,0.335451216,PGC171
181,,,,0.6766260269999999,-80.3482513,32.4000015,8.6994772,-0.6928339,0.1999999879999999,PGC181
187,,,,0.694020033,-52.7716103,18.3823051,8.20790386,-2.45034456,0.42052272,PGC187
190,,,,0.709710002,31.4854317,73.6206512,10.3309221,-0.5226473809999999,0.5,PGC190
205,,,,0.773571014,-1.91383982,105.584366,10.9327011,0.6808550359999999,0.3779180939999999,PGC205
206,,,,0.786958516,31.0363331,70.631752,10.3077927,-0.975090683,0.5,PGC206
218,,,,0.812559009,16.1456203,13.1999998,10.4923773,-0.971797287,0.5,PGC218
227,,,,0.8397030229999999,22.1026154,65.8566589,9.53189659,-0.709378004,0.3751508889999999,PGC227
255,,,,0.930268466,15.2183132,13.6999998,8.59221649,-1.49302959,0.3350507019999999,PGC255
268,,,,0.96716702,30.2786388,44.5861015,8.86380005,-1.13617063,0.2485570759999999,PGC268
279,,,,0.995381951,20.7523556,28.6000004,10.5838232,0.1712411789999999,0.4207207259999999,PGC279
286,,,,1.05995548,80.2892685,64.091423,9.63727379,-0.175746858,0.268829137,PGC286
298,,,,1.06131899,22.5880909,65.8566589,9.591558460000002,-0.4189266859999999,0.3163624999999999,PGC298
303,,,,1.10204101,31.4720287,73.6206512,10.2652187,0.4556692239999999,0.26801908,PGC303
305,,,,1.12146151,5.84585333,44.4599991,9.57795048,-0.405658603,0.309733093,PGC305
