Galaxy,N_points,T,A_T,D_spatial,D_total_v3p_T,f_gas,R_disk,M_bar,v3o_MAE,v3o_bias,v3p_T_MAE,v3p_T_bias,MAE_delta,MAE_improvement_pct
CamB,9,10,-0.5,0.6716263496388193,0.9164899908059098,0.0408225905463474,0.47,39096000.0,5.908939044176552,5.601427074547041,3.064142660738697,1.0486264500426434,-2.8447963834378553,48.143945337217396
D512-2,4,10,-0.5,0.6478042597090035,0.8839827686093782,0.0621735642598673,1.24,173273000.0,9.679718044180541,-9.679718044180541,16.03430043040383,-16.03430043040383,6.35458238622329,-65.64842443983865
D564-8,6,10,-0.5,0.6114164596952488,0.8343285903330383,0.1894679962666405,0.61,20357000.0,6.586571208257717,-6.142944832835707,9.736263138608319,-9.736263138608319,3.1496919303506017,-47.819902507115835
D631-7,16,10,-0.5,0.6964750061162897,0.9503980484019569,0.2824192721681189,0.7,136570000.0,16.208618657408756,-14.006628798776074,21.558249318215157,-21.065196373930505,5.349630660806401,-33.004852380564536
DDO064,14,10,-0.5,0.6843613243114729,0.9338679224890999,0.2633465649428038,0.69,106563000.0,10.38459009201391,-9.811674707090086,15.562987305702359,-15.562987305702359,5.178397213688449,-49.86616869616072
DDO154,12,10,-0.5,0.7250519123804935,0.9893936127859718,0.5798652397938963,0.37,63075000.00000001,14.658847458790733,-14.205423687689716,21.33859744428143,-21.33859744428143,6.679749985490696,-45.56804349229333
DDO161,31,10,-0.5,0.7019227931893244,0.9578320067735472,0.400796896390348,1.22,457274000.0,12.16040674465326,-9.93421358219623,19.086405853978608,-19.086405853978608,6.925999109325348,-56.95532439628799
DDO168,10,10,-0.5,0.6608506104092697,0.9017855987689867,0.365149007172819,1.02,150429000.0,13.530399780431924,-12.716975964636335,17.496466247072373,-17.496466247072373,3.9660664666404486,-29.312263724655754
DDO170,8,10,-0.5,0.6401376489086882,0.8735210407964774,0.2647357517162936,1.95,369255000.0,18.07915888801928,-18.07915888801928,25.171316641260724,-25.171316641260724,7.092157753241445,-39.22836121508554
ESO079-G014,15,4,0.1,0.7725561939509764,0.725989064176828,0.0158886810743521,5.08,26284120000.0,31.91121403245838,-27.453014824157307,28.26635642281457,-18.832531335076503,-3.6448576096438075,11.421870712710753
ESO116-G012,15,7,-0.2,0.7716918546255208,0.8738641364838604,0.0628980554479639,1.51,2290039000.0,30.117208635275585,-29.42671899040314,37.088142727317404,-37.088142727317404,6.970934092041819,-23.14601653978293
ESO444-G084,7,10,-0.5,0.6910199903020445,0.9429542258120122,0.3358900009353662,0.46,53455000.0,25.402753599808687,-25.402753599808687,30.424918786004984,-30.424918786004984,5.022165186196297,-19.77016061059664
ESO563-G021,30,4,0.1,0.8821487067418228,0.8289757031097394,0.0203477601901532,5.45,158820134000.0,86.82097672674367,-76.21194577567721,75.13398970123659,-60.53920953517942,-11.68698702550708,13.461017678124218
F561-1,6,9,-0.4,0.6986118071613073,0.8958512857275355,0.0956984792119335,2.79,2254226000.0,5.616268685418582,5.616268685418582,5.937826517803432,-5.696824098976527,0.32155783238485025,-5.725470955827045
F563-1,17,9,-0.4,0.6470877966472962,0.8297804713043286,0.3090552610558419,3.52,1377100000.0,47.88940868480716,-47.592113007396065,56.60788461601008,-56.60788461601008,8.718475931202924,-18.205436589508043
