Galaxy,MAE,Bias,D_spatial,f_gas,R_disk,Vflat,Q,T,L36
CamB,5.908939044176552,5.601427074547041,0.6716263496388193,0.04082259054634746,0.47,66.2,0.0,10,0.075
D512-2,9.67971804418054,-9.67971804418054,0.6478042597090035,0.06217356425986738,1.24,93.94,0.0,10,0.325
D564-8,6.586571208257717,-6.142944832835707,0.6114164596952488,0.18946799626664051,0.61,21.13,0.0,10,0.033
D631-7,16.208618657408756,-14.006628798776076,0.6964750061162897,0.2824192721681189,0.7,115.04,2.7,10,0.196
DDO064,10.38459009201391,-9.811674707090088,0.6843613243114729,0.2633465649428038,0.69,151.65,3.9,10,0.157
DDO154,14.658847458790733,-14.205423687689716,0.7250519123804935,0.5798652397938963,0.37,71.26,1.0,10,0.053
DDO161,12.16040674465326,-9.93421358219623,0.7019227931893244,0.40079689639034805,1.22,169.37,1.9,10,0.548
DDO168,13.530399780431924,-12.716975964636335,0.6608506104092697,0.365149007172819,1.02,92.22,1.9,10,0.191
DDO170,18.079158888019283,-18.079158888019283,0.6401376489086882,0.2647357517162936,1.95,73.93,1.6,10,0.543
ESO079-G014,31.91121403245838,-27.45301482415731,0.7725561939509764,0.01588868107435212,5.08,2295.25,3.5,4,51.733
ESO116-G012,30.117208635275585,-29.42671899040314,0.7716918546255208,0.06289805544796398,1.51,1320.78,3.1,7,4.292
ESO444-G084,25.402753599808687,-25.402753599808687,0.6910199903020445,0.3358900009353662,0.46,66.81,0.0,10,0.071
ESO563-G021,86.82097672674367,-76.21194577567721,0.8821487067418228,0.02034776019015322,5.45,6558.89,11.7,4,311.177
F561-1,5.616268685418582,5.616268685418582,0.6986118071613073,0.09569847921193352,2.79,93.07,2.9,9,4.077
F563-1,47.88940868480716,-47.592113007396065,0.6470877966472962,0.30905526105584197,3.52,41.77,12.5,9,1.903
F563-V1,5.116170581858625,5.116170581858625,0.6153329844990227,0.0953203388436549,3.79,40.63,0.0,10,1.54
F563-V2,42.9419948511259,-41.22770403603986,0.7009034719548558,0.1619313636942829,2.43,146.16,9.4,10,2.986
