Galaxy,R,Vobs,Vgas,Vdisk,Vbul,T,L36,R_disk,Vflat,MHI,Q,M_star,M_gas,M_bar,f_gas,Sigma_bar,D_spatial,eta,L_chi,x,M_hist,g_hist,V_bar_sq,V_flux,residual,abs_res
CamB,0.16,1.99,1.86,3.75,0.0,10,0.075,0.47,66.2,0.012,0.0,37500000.0,1596000.0000000002,39096000.0,0.04082259054634746,28168047.32965478,0.6716263496388193,68.10162272531323,23.170606846350797,0.006905300368738459,3058455.612027906,513.833684622146,10.49085,9.62830408428937,7.63830408428937,7.63830408428937
CamB,0.41,4.84,4.24,9.47,0.0,10,0.075,0.47,66.2,0.012,0.0,37500000.0,1596000.0000000002,39096000.0,0.04082259054634746,28168047.32965478,0.6716263496388193,68.10162272531323,23.170606846350797,0.017694832194892297,10955157.644048523,280.2923680122828,62.81805000000001,13.331838616073776,8.491838616073776,8.491838616073776
CamB,0.57,6.79,5.61,11.76,0.0,10,0.075,0.47,66.2,0.012,0.0,37500000.0,1596000.0000000002,39096000.0,0.04082259054634746,28168047.32965478,0.6716263496388193,68.10162272531323,23.170606846350797,0.024600132563630753,17106656.233689707,226.45179705151858,100.6209,15.155804971012447,8.365804971012448,8.365804971012448
CamB,0.73,8.87,6.77,13.72,0.0,10,0.075,0.47,66.2,0.012,0.0,37500000.0,1596000.0000000002,39096000.0,0.04082259054634746,28168047.32965478,0.6716263496388193,68.10162272531323,23.170606846350797,0.031505432932369216,23891546.021198988,192.82302345287098,139.9521,16.75448916322416,7.884489163224162,7.884489163224162
CamB,0.9,10.9,7.77,14.8,0.0,10,0.075,0.47,66.2,0.012,0.0,37500000.0,1596000.0000000002,39096000.0,0.04082259054634746,28168047.32965478,0.6716263496388193,68.10162272531323,23.170606846350797,0.03884231457415383,31680122.83215326,168.2140210988102,169.8929,17.9244391540971,7.0244391540971005,7.0244391540971005
CamB,1.06,12.9,8.44,15.24,0.0,10,0.075,0.47,66.2,0.012,0.0,37500000.0,1596000.0000000002,39096000.0,0.04082259054634746,28168047.32965478,0.6716263496388193,68.10162272531323,23.170606846350797,0.045747614942892284,39481824.17742319,151.12831294314802,187.36239999999998,18.64291854082233,5.742918540822329,5.742918540822329
CamB,1.22,14.7,8.64,15.11,0.0,10,0.075,0.47,66.2,0.012,0.0,37500000.0,1596000.0000000002,39096000.0,0.04082259054634746,28168047.32965478,0.6716263496388193,68.10162272531323,23.170606846350797,0.052652915311630744,47687176.56931167,137.7978060862122,188.80565,18.892299315466577,4.1922993154665775,4.1922993154665775
CamB,1.47,16.8,8.08,15.9,0.0,10,0.075,0.47,66.2,0.012,0.0,37500000.0,1596000.0000000002,39096000.0,0.04082259054634746,28168047.32965478,0.6716263496388193,68.10162272531323,23.170606846350797,0.06344244713778459,61222273.00315458,121.85269386922005,191.6914,19.2565536892704,2.4565536892704003,2.4565536892704003
CamB,1.79,20.1,6.91,14.91,0.0,10,0.075,0.47,66.2,0.012,0.0,37500000.0,1596000.0000000002,39096000.0,0.04082259054634746,28168047.32965478,0.6716263496388193,68.10162272531323,23.170606846350797,0.07725304787526151,79656395.4160611,106.92393733307054,158.90215,18.7161961366672,-1.3838038633328011,1.3838038633328011
D512-2,0.96,22.9,4.08,14.85,0.0,10,0.325,1.24,93.94,0.081,0.0,162500000.0,10773000.0,173273000.0,0.06217356425986738,17935259.140453942,0.6478042597090035,99.56132014267736,72.17840803644253,0.013300376471524567,48218171.58166055,225.02388925486073,126.90764999999999,18.51838501826405,-4.38161498173595,4.38161498173595
