Galaxy,MAE_v3o,MAE_v3q,T,f_gas,R_rem,D_spatial,Imp_v3q
CamB,5.908939044176552,5.908939044176552,10,0.0408225905463474,0.0,0.6716263496388193,0.0
D512-2,9.67971804418054,9.67971804418054,10,0.0621735642598673,0.0,0.6478042597090035,0.0
D564-8,6.586571208257717,6.586571208257717,10,0.1894679962666405,0.0,0.6114164596952488,0.0
D631-7,16.208618657408756,16.208618657408756,10,0.2824192721681189,0.0,0.6964750061162897,0.0
DDO064,10.38459009201391,10.38459009201391,10,0.2633465649428038,0.0,0.6843613243114729,0.0
DDO154,14.658847458790737,14.658847458790733,10,0.5798652397938963,0.0,0.7250519123804935,3.552713678800501e-15
DDO161,12.16040674465326,12.160406744653258,10,0.400796896390348,0.0,0.7019227931893244,1.7763568394002505e-15
DDO168,13.530399780431926,13.530399780431926,10,0.365149007172819,0.0,0.6608506104092697,0.0
DDO170,18.079158888019283,18.079158888019283,10,0.2647357517162936,0.0,0.6401376489086882,0.0
ESO079-G014,31.91121403245838,20.767734054986708,4,0.0158886810743521,0.5904667913553887,0.7725561939509764,11.14347997747167
ESO116-G012,30.117208635275585,18.644510213728342,7,0.0628980554479639,0.2811305833656108,0.7716918546255208,11.472698421547243
ESO444-G084,25.402753599808683,25.402753599808683,10,0.3358900009353662,0.0,0.6910199903020445,0.0
ESO563-G021,86.82097672674364,49.138783893768526,4,0.0203477601901532,0.587791343885908,0.8821487067418228,37.68219283297511
F561-1,5.616268685418582,15.53562427328229,9,0.0956984792119335,0.09043015207880666,0.6986118071613073,-9.919355587863707
F563-1,47.889408684807165,41.13009626344698,9,0.3090552610558419,0.06909447389441581,0.6470877966472962,6.759312421360185
F563-V1,5.116170581858625,5.116170581858625,10,0.0953203388436549,0.0,0.6153329844990227,0.0
F563-V2,42.9419948511259,42.9419948511259,10,0.1619313636942829,0.0,0.7009034719548558,0.0
F565-V2,30.40635613501635,30.40635613501635,10,0.2495979509594138,0.0,0.6297182272059494,0.0
F567-2,6.8515447277999515,3.994086928561103,9,0.2338716336484727,0.07661283663515273,0.6616582211184816,2.8574577992388486
F568-1,53.0674964989957,38.19685030034866,5,0.1606327636770407,0.41968361816147964,0.6586929159792129,14.870646198647044
F568-3,27.56546791299034,17.540400695714716,7,0.0924186618558113,0.2722744014432566,0.6739097448360175,10.025067217275623
F568-V1,48.49037778161826,34.23800860885113,7,0.1476524454241304,0.2557042663727609,0.6959794200773329,14.252369172767125
F571-8,37.17381380756281,29.762207478769582,5,0.0445583253713193,0.47772083731434034,0.7196597874594698,7.411606328793226
F571-V1,25.95430436883184,15.45045586862153,7,0.1489937506961313,0.2553018747911606,0.6719534967055223,10.503848500210308
F574-1,32.26350449323855,18.794407572691366,7,0.1254128768337297,0.2623761369498811,0.6748431639790736,13.469096920547184
F574-2,12.2688172171958,20.765961456850135,9,0.1358974682426551,0.08641025317573449,0.6500852456398316,-8.497144239654336
F579-V1,37.17533100581921,13.434272411398066,5,0.0479840773569183,0.47600796132154083,0.7351732227965161,23.741058594421144
F583-1,23.740088443141808,19.444173163467042,9,0.3644925350431449,0.06355074649568551,0.6588779565937105,4.295915279674766
F583-4,15.525586971366153,5.817898498787961,5,0.0904298368713756,0.4547850815643122,0.6911231841528656,9.707688472578191
IC2574,13.314548980908178,9.346379202020913,9,0.2133641380762727,0.07866358619237274,0.6324887829442423,3.9681697788872654
IC4202,48.869532584729654,17.11336427024904,4,0.0179137677705599,0.5892517393376641,0.8619920951868809,31.756168314480615
KK98-251,5.538167579760507,5.538167579760507,10,0.2646422700925686,0.0,0.5860130010266327,0.0
NGC0024,33.584387118734355,19.25754115172169,5,0.0441936917275197,0.4779031541362401,0.7791679392539996,14.326845967012666
NGC0055,19.759578582553935,14.686253061568689,9,0.0825269760461829,0.09174730239538172,0.6218244693420709,5.073325520985247
NGC0100,21.244914373543857,11.233572046482777,6,0.1407317604896127,0.34370729580415493,0.7482048363876183,10.01134232706108
NGC0247,27.527319449154213,10.629988911276829,7,0.0595702959660029,0.2821289112101991,0.6964703475609354,16.897330537877384
NGC0289,38.85726843231951,9.548916390743875,4,0.0920573583393407,0.5447655849963956,0.7631292370721942,29.30835204157563
NGC0300,30.435815864759366,15.466595673868518,7,0.0785171505555387,0.2764448548333384,0.7318460723960198,14.969220190890848
NGC0801,25.798915087782653,26.61807172572484,5,0.0193619803455381,0.490319009827231,0.8184701507457484,-0.8191566379421857
