Galaxy,MAE_v3o,MAE_v3q_ungated,MAE_v3q_retention,T,f_gas,Vflat_filled,G_ret,Imp_vs_v3q_ungated
CamB,5.908939044176552,5.908939044176552,5.908939044176552,10,0.0408225905463474,66.2,0.383820001566578,0.0
D512-2,9.67971804418054,9.67971804418054,9.67971804418054,10,0.0621735642598673,93.94,0.5990657992907876,0.0
D564-8,6.586571208257717,6.586571208257717,6.586571208257717,10,0.1894679962666405,21.13,0.034611921233544646,0.0
D631-7,16.208618657408756,16.208618657408756,16.208618657408756,10,0.2824192721681189,115.04,0.7126179952867006,0.0
DDO064,10.38459009201391,10.38459009201391,10.38459009201391,10,0.2633465649428038,151.65,0.8318606024045022,0.0
DDO154,14.658847458790733,14.658847458790733,14.658847458790733,10,0.5798652397938963,71.26,0.42819270792460706,0.0
DDO161,12.16040674465326,12.160406744653258,12.160406744653258,10,0.400796896390348,169.37,0.8670527738229203,0.0
DDO168,13.530399780431924,13.530399780431926,13.530399780431926,10,0.365149007172819,92.22,0.5879206302166128,0.0
DDO170,18.079158888019283,18.079158888019283,18.079158888019283,10,0.2647357517162936,73.93,0.4508418546207351,0.0
ESO079-G014,31.91121403245838,20.76773405498775,20.7682762999233,4,0.0158886810743521,2295.25,0.9997732478106744,-0.0005422449355521053
ESO116-G012,30.117208635275585,18.644510213731397,18.64814629121226,7,0.0628980554479639,1320.78,0.9990978955985886,-0.0036360774808628094
ESO444-G084,25.402753599808687,25.402753599808683,25.402753599808683,10,0.3358900009353662,66.81,0.38925742627479626,0.0
ESO563-G021,86.82097672674364,49.13878389377087,49.13903841384217,4,0.0203477601901532,6558.89,0.999983569833538,-0.00025452007130155607
F561-1,5.616268685418582,15.535624273233557,13.413775271646303,9,0.0956984792119335,93.07,0.5934661930127253,2.121849001587254
F563-1,47.88940868480716,41.130096263521814,45.013304536608885,9,0.3090552610558419,41.77,0.16456861281046756,-3.883208273087071
F563-V1,5.116170581858625,5.116170581858625,5.116170581858625,10,0.0953203388436549,40.63,0.155276781286381,0.0
F563-V2,42.9419948511259,42.9419948511259,42.9419948511259,10,0.1619313636942829,146.16,0.8185698785786565,0.0
F565-V2,30.40635613501635,30.40635613501635,30.40635613501635,10,0.2495979509594138,40.26,0.1523005168788693,0.0
F567-2,6.8515447277999515,3.9940869285453315,4.36358926637093,9,0.2338716336484727,46.65,0.2061346496720091,-0.3695023378255984
F568-1,53.0674964989957,38.1968503004488,43.83790514507255,5,0.1606327636770407,57.13,0.3011677824990687,-5.641054844623746
F568-3,27.565467912990336,17.540400695744196,18.46986831732777,7,0.0924186618558113,132.08,0.7778970044773774,-0.9294676215835729
F568-V1,48.490377781618264,34.23800860891219,37.270993557778446,7,0.1476524454241304,90.54,0.5767419180760269,-3.0329849488662575
F571-8,37.17381380756281,29.762207478801763,31.25997312056163,5,0.0445583253713193,87.26,0.5540785955327006,-1.497765641759866
F571-V1,25.95430436883184,15.450455868691112,19.127417258868213,7,0.1489937506961313,64.39,0.3675665207497162,-3.6769613901771017
F574-1,32.26350449323856,18.79440757273539,20.226462225379997,7,0.1254128768337297,128.48,0.7657320105639631,-1.4320546526446059
F574-2,12.2688172171958,20.765961456756507,15.883220767633054,9,0.1358974682426551,41.38,0.16136963963908943,4.8827406891234535
F579-V1,37.17533100581921,13.43427241144702,14.350184802988954,5,0.0479840773569183,201.76,0.909917711059164,-0.9159123915419336
F583-1,23.740088443141808,19.444173163495964,21.160551669261963,9,0.3644925350431449,60.93,0.33609338959584806,-1.7163785057659986
F583-4,15.525586971366153,5.8178984987962705,7.278658888084917,5,0.0904298368713756,83.34,0.5255414931268209,-1.4607603892886463
IC2574,13.314548980908178,9.346379202039175,10.313953063001083,9,0.2133641380762727,80.32,0.502494992584753,-0.9675738609619078
IC4202,48.869532584729654,17.113364270250017,17.11343187735247,4,0.0179137677705599,8888.53,0.9999923149486539,-6.760710245146129e-05
KK98-251,5.538167579760506,5.538167579760507,5.538167579760507,10,0.2646422700925686,52.1,0.25499362799350206,0.0
NGC0024,33.584387118734355,19.257541151726656,19.26451783119373,5,0.0441936917275197,1182.58,0.9988111364314154,-0.0069766794670726995
NGC0055,19.759578582553935,14.686253061574044,14.725275706374543,9,0.0825269760461829,391.59,0.9814847516205105,-0.03902264480049844
NGC0100,21.244914373543857,11.233572046485104,11.236797344166963,6,0.1407317604896127,1193.52,0.9988381612913885,-0.003225297681858308
NGC0247,27.527319449154213,10.62998891129077,10.69946036053649,7,0.0595702959660029,506.79,0.9901966093173781,-0.0694714492457198
NGC0289,38.85726843231949,9.548916390626776,10.416129729279689,4,0.0920573583393407,69.96,0.4169619544111671,-0.8672133386529133
NGC0300,30.435815864759366,15.466595673881876,15.549362502192375,7,0.0785171505555387,437.35,0.9858914865444168,-0.08276682831049875
NGC0801,25.798915087782653,26.618071725714188,26.608164326075833,5,0.0193619803455381,1558.94,0.9994037993264945,0.00990739963835452
NGC0891,28.176145103265757,28.027776581283803,28.027291395257627,3,0.0085065465372797,5067.92,0.9999686933214343,0.00048518602617519946
NGC1003,31.438403607576276,9.097948410381484,9.103767517333427,6,0.1865535634201963,1345.33,0.9991384537936072,-0.005819106951943098
NGC1090,30.358134346149743,17.631066864768055,17.62558987241556,4,0.0314094898987887,2055.09,0.9997011054303264,0.0054769923524951025
NGC1705,33.85220568577203,33.852205685772034,33.852205685772034,11,0.0648696256320463,587.26,0.9931972513546696,0.0
NGC2366,10.81468842313054,10.81468842313054,10.81468842313054,10,0.4217131991511926,113.98,0.7078553894451429,0.0
NGC2403,30.211583679595996,13.437287272587513,13.439358294123272,6,0.0781251520620672,1408.74,0.9992320831065312,-0.002071021535758888
NGC2683,37.105454990813705,12.12903120212648,12.128977323313423,3,0.0046292938211535,10205.4,0.999994559390872,5.387881305729536e-05
NGC2841,101.94036432651785,53.550825168791114,53.55161323954229,3,0.0136332546233073,4751.49,0.9999632180758868,-0.0007880707511773721
NGC2903,37.20062011450055,17.862826484972864,17.869339822454815,4,0.0082240966011028,1193.52,0.9988381612913885,-0.006513337481951709
NGC2915,38.962826858664016,38.962826858664016,38.962826858664016,11,0.1741053022181908,313.93,0.9682580195320241,0.0
NGC2955,22.27592091609597,16.75798202261909,14.777820349223525,3,0.0235399141105681,50.68,0.2420930988824617,1.980161673395564
NGC2976,7.833696995690965,13.35008936131451,13.346414448126268,5,0.0133904948325193,1502.55,0.9993463148023638,0.0036749131882416464
NGC2998,45.07280664393136,6.187479665319733,6.217799675136344,5,0.0396968776230994,774.16,0.9965789465819072,-0.030320009816610316
NGC3109,23.18128058844864,20.284052404901473,20.53783071506664,9,0.3954163835927226,140.87,0.8044790061517421,-0.25377831016516694
NGC3198,30.696112241190814,11.0825116839231,11.079260241335474,5,0.0702245126408805,1602.62,0.9994435747210653,0.0032514425876257746
NGC3521,17.71860024828557,10.063455405376256,10.061731206715386,4,0.012857244654598,2112.66,0.9997210478076591,0.0017241986608702575
NGC3726,22.033947195602554,20.224285118613306,20.21706521739122,5,0.0239288225449678,1789.91,0.9995778530977678,0.007219901222086378
NGC3741,15.752339414633484,15.752339414633488,15.752339414633488,10,0.6335654085745694,143.49,0.8116239336419926,0.0
NGC3769,26.174435219580385,11.736272405941001,9.536697420979435,3,0.0729893238186904,160.26,0.8502963362060858,2.1995749849615667
NGC3877,19.49182384650568,21.047789035300095,21.046819953613287,5,0.0054090336420617,3410.59,0.9999157413324533,0.0009690816868079821
NGC3893,37.0563652176336,11.265722100011923,11.268810558561302,5,0.0256799954531178,2055.09,0.9997011054303264,-0.00308845854937978
NGC3917,31.72991889712135,11.98100875742736,11.989991600109288,6,0.0223519383477311,1226.96,0.9989156293248833,-0.00898284268192917
NGC3949,13.469405478099139,11.9532203983876,11.565330520404258,4,0.0230133771224827,185.71,0.891426846561584,0.3878898779833424
NGC3953,31.489180473443255,5.37958580272435,5.37553426292331,4,0.0053029858044717,1999.08,0.9996797343065301,0.004051539801039894
NGC3972,28.297846050809774,9.582650904133867,9.584362425719997,4,0.0220036571462212,1587.93,0.9994306238966653,-0.0017115215861291944
NGC3992,73.03027489484334,16.42385684750134,16.42620304912725,4,0.0190853031399099,3257.09,0.9999054613252594,-0.002346201625908151
NGC4010,19.61431213928551,13.952378009264827,13.95249135117889,7,0.0419758666850325,2611.14,0.9998357224480655,-0.0001133419140639802
NGC4013,36.32670121778453,11.625932363234721,11.625819539680881,3,0.009879696640178,10205.4,0.999994559390872,0.0001128235538399025
NGC4051,6.46554307891819,31.805424486407414,31.79121544623926,4,0.0074740740263816,1320.78,0.9990978955985886,0.014209040168154274
NGC4068,5.946192704507058,5.946192704507058,5.946192704507058,10,0.1479036986756401,261.11,0.9506068044542798,0.0
NGC4085,15.181174485524581,22.489028793372334,22.48872038007868,5,0.0162494542140741,5021.46,0.9999679641659395,0.00030841329365571823
NGC4088,14.191722318893717,41.07120774679404,41.07025846299979,4,0.0199875192415346,3988.69,0.999943032847036,0.0009492837942488563
NGC4100,44.128245383024314,8.992190725925921,8.992258119172943,4,0.0137021569822693,8970.78,0.9999924898918608,-6.739324702209615e-05
NGC4138,33.83805435604976,11.552487852144955,11.55195882324205,0,0.008863583040272,3952.12,0.9999417059347206,0.000529028902905182
NGC4157,27.168715267243332,21.41198260265412,21.411970032884465,3,0.0202963940117458,23813.87,0.9999993458915837,1.2569769655357277e-05
NGC4183,28.802565911651744,5.627935833648252,5.640377526375572,6,0.0792309922114394,1098.58,0.9985710247498891,-0.012441692727320763
