V_ref,n,Point_MAE,Galaxy_MAE
80.0,1.0,19.769930968015494,18.959266013311655
80.0,1.25,19.750858049927622,18.940194399740733
80.0,1.5,19.744268671787918,18.928448601929663
80.0,1.75,19.743369526021915,18.921373248622224
80.0,2.0,19.745310612525692,18.91766192863272
80.0,2.25,19.748681140442255,18.91600031015952
80.0,2.5,19.753238785520058,18.915957805510054
80.0,2.75,19.757898128437123,18.91669316969708
80.0,3.0,19.762382081171275,18.917882630876672
80.0,3.25,19.766659895043226,18.91942378350009
80.0,3.5,19.77072058359342,18.92126977770273
80.0,3.75,19.774652610499913,18.923448409467444
80.0,4.0,19.778568516672994,18.925935116275117
80.0,4.25,19.782622835565903,18.92878187125339
80.0,4.5,19.786660166182394,18.931825709534486
80.0,4.75,19.79052752142538,18.934912235090998
80.0,5.0,19.794438414476335,18.93820054129022
80.0,5.25,19.798258889103394,18.941558780466757
80.0,5.5,19.80204352113195,18.94499016902047
80.0,5.75,19.806055411051105,18.948689350145496
80.0,6.0,19.810297286412137,18.952620338445552
85.0,1.0,19.781923110882914,18.973778794464305
85.0,1.25,19.763931138626962,18.956939454880334
85.0,1.5,19.758672518455214,18.947418766635366
85.0,1.75,19.759315337966804,18.942277368411062
85.0,2.0,19.763245579499827,18.940522212832292
85.0,2.25,19.769303754599257,18.941428701755775
85.0,2.5,19.776223824802035,18.943711592218346
85.0,2.75,19.783189080495525,18.94659620688717
85.0,3.0,19.790172905561228,18.950017847187745
85.0,3.25,19.796935012630602,18.953754016811587
85.0,3.5,19.80352016438844,18.957750163861423
85.0,3.75,19.810068096977922,18.962060360140068
85.0,4.0,19.816618871266666,18.966741189772915
85.0,4.25,19.823242403467727,18.971736691210353
85.0,4.5,19.830161112464413,18.977153821678808
85.0,4.75,19.836923774302388,18.982606778892322
85.0,5.0,19.843788966147827,18.98828644828007
85.0,5.25,19.850643968253987,18.99409175786817
85.0,5.5,19.85752724927091,19.000026214397273
85.0,5.75,19.864205477337148,19.005892801409697
85.0,6.0,19.870693370384778,19.011685413457222
90.0,1.0,19.793604234664727,18.987842915187674
90.0,1.25,19.776835220964198,18.97335598868708
90.0,1.5,19.77302049227207,18.966144129142045
90.0,1.75,19.775302450610578,18.963232404751647
90.0,2.0,19.781428990704992,18.963629529679242
90.0,2.25,19.789748115326812,18.966766386896435
90.0,2.5,19.79901461024667,18.97132287914968
90.0,2.75,19.808610104898364,18.97666337828408
90.0,3.0,19.818001049707213,18.982320049779794
90.0,3.25,19.827684212736603,18.988613532392034
90.0,3.5,19.837792305262447,18.99555978942428
90.0,3.75,19.8478081769305,19.002732581681364
90.0,4.0,19.857626692341405,19.01001258081923
90.0,4.25,19.867106169986293,19.017251086743258
90.0,4.5,19.876640868759033,19.024821461292554
90.0,4.75,19.88611978544519,19.03254623542322
90.0,5.0,19.89546333645305,19.040293858817527
90.0,5.25,19.90444166259173,19.047856359048893
90.0,5.5,19.91308110892676,19.05523576282647
90.0,5.75,19.92143088129121,19.0624675001003
90.0,6.0,19.92950657121513,19.06954712642519
95.0,1.0,19.805214457981165,19.001675261321306
