chi_rem,zeta,Point_MAE,Galaxy_MAE
0.0,0.5,33.01040812325115,27.96142237717528
0.0,0.75,33.01040812325115,27.96142237717528
0.0,1.0,33.01040812325115,27.96142237717528
0.0,1.25,33.01040812325115,27.96142237717528
0.0,1.5,33.01040812325115,27.96142237717528
0.0,1.75,33.01040812325115,27.96142237717528
0.0,2.0,33.01040812325115,27.96142237717528
0.0,2.25,33.01040812325115,27.96142237717528
0.0,2.5,33.01040812325115,27.96142237717528
0.0,2.75,33.01040812325115,27.96142237717528
0.0,3.0,33.01040812325115,27.96142237717528
0.5,0.5,29.40767875883182,25.373285311165862
0.5,0.75,29.876785967013955,25.76355897953904
0.5,1.0,30.254744684696842,26.067978081574733
0.5,1.25,30.564778085916398,26.31044856530505
0.5,1.5,30.822835421055338,26.50741945531082
0.5,1.75,31.040576127448723,26.66977128969523
0.5,2.0,31.226026813278438,26.8050849397441
0.5,2.25,31.386648407587163,26.920225815318823
0.5,2.5,31.526214124523666,27.0184569225764
0.5,2.75,31.647924194192004,27.102573449664057
0.5,3.0,31.755227441639924,27.175451284721795
1.0,0.5,26.27329222279354,23.14692819025024
1.0,0.75,27.11215760486102,23.842644637048352
1.0,1.0,27.801459864806485,24.395324507766915
1.0,1.25,28.373794334214164,24.840342847334345
1.0,1.5,28.853333530270547,25.204134206699425
1.0,1.75,29.258865270380326,25.505029298874557
1.0,2.0,29.605873255630634,25.757601396825255
1.0,2.25,29.90529096101696,25.971821468195323
1.0,2.5,30.166476663408815,26.155514804640532
1.0,2.75,30.39550963907118,26.314234853998855
1.0,3.0,30.59689751698023,26.451765891575143
1.5,0.5,23.58469184950658,21.290509866975015
1.5,0.75,24.673392345248125,22.173150594435075
1.5,1.0,25.59253466847154,22.900598654144638
1.5,1.25,26.372233891045386,23.503542687263106
1.5,1.5,27.038923528080076,24.008403109639985
1.5,1.75,27.60951619945565,24.430807163344294
1.5,2.0,28.1018753069205,24.78836465271673
1.5,2.25,28.527785367710788,25.09160300690503
1.5,2.5,28.898388539678802,25.351378250956092
1.5,2.75,29.223779851414527,25.5762339923058
1.5,3.0,29.511891051423266,25.772455985017643
2.0,0.5,21.486954151305987,19.89882069221925
2.0,0.75,22.63586998581876,20.839572638837925
2.0,1.0,23.678815866576347,21.648175798219988
2.0,1.25,24.593473018845106,22.338937476204794
2.0,1.5,25.392455891241028,22.93380893858566
2.0,1.75,26.09332591322418,23.44877286804538
2.0,2.0,26.70428314822482,23.892268192817312
2.0,2.25,27.23728191060547,24.272349851370382
2.0,2.5,27.70616150014491,24.601493749589142
2.0,2.75,28.119475325682224,24.8861913785702
2.0,3.0,28.485575029475502,25.13436102284118
2.5,0.5,20.165814672048906,19.040845785117313
2.5,0.75,21.188992632846762,19.9179782352687
2.5,1.0,22.187448595791988,20.712257559158886
2.5,1.25,23.118398516621067,21.41467844823031
2.5,1.5,23.97074276753049,22.042482451595617
2.5,1.75,24.738746752945406,22.60128123034213
2.5,2.0,25.431311910281494,23.096022177488468
2.5,2.25,26.050625861133526,23.53416280185269
2.5,2.5,26.598615464771964,23.918691623493707
2.5,2.75,27.086136944382954,24.254768400942393
2.5,3.0,27.522194746338982,24.550365142573042
3.0,0.5,19.594222262566163,18.70707958541275
3.0,0.75,20.364583102871407,19.432856478746395
3.0,1.0,21.233435323211406,20.149593886341872
3.0,1.25,22.082316721026412,20.800045222722545
3.0,1.5,22.892942473281824,21.398937042689546
3.0,1.75,23.65839830380687,21.949763932243197
3.0,2.0,24.367821873647394,22.45740306339971
3.0,2.25,25.01494936244522,22.91684053443535
3.0,2.5,25.603340768892075,23.329076672372032
3.0,2.75,26.139883804555765,23.699681408423338
3.0,3.0,26.627511875091432,24.029996246776786
3.5,0.5,19.611373087181573,18.82587748801148
3.5,0.75,19.979307731399036,19.23975878067535
3.5,1.0,20.665766947423343,19.850448507412505
3.5,1.25,21.41498715216199,20.431167446671555
3.5,1.5,22.145766444427505,20.970795935163068
3.5,1.75,22.856366776241284,21.483608681296808
3.5,2.0,23.543311516414008,21.97644581438953
3.5,2.25,24.189664593490228,22.436695592400703
3.5,2.5,24.789312017714874,22.857138575501853
3.5,2.75,25.339896811232357,23.2385743842358
3.5,3.0,25.842824206766945,23.58075278300122
4.0,0.5,20.197260163258715,19.38759805841902
4.0,0.75,20.07797183631137,19.40828604349195
4.0,1.0,20.398036571980143,19.74867319408921
4.0,1.25,21.013120903532634,20.251443316272173
4.0,1.5,21.65902092915536,20.72593434629383
4.0,1.75,22.298296940203652,21.18204867836098
4.0,2.0,22.922118009563462,21.624456871122625
4.0,2.25,23.54175599509894,22.06588833968278
4.0,2.5,24.129933076582766,22.485277600371276
4.0,2.75,24.676340090540915,22.86878783474094
4.0,3.0,25.190434280073287,23.223392764031352
4.5,0.5,21.34755239548921,20.324137218305598
4.5,0.75,20.661595985160336,19.928731878901704
4.5,1.0,20.573276874529842,19.9673847321494
4.5,1.25,20.89391856920384,20.259569535422603
4.5,1.5,21.428457786279772,20.666644696364965
4.5,1.75,21.977202469348605,21.054470988916474
4.5,2.0,22.52946084355444,21.43945410275898
4.5,2.25,23.08576276722186,21.830734186411853
4.5,2.5,23.64731123452287,22.22946820305383
4.5,2.75,24.179350046201144,22.608872911819205
4.5,3.0,24.67481562904987,22.956816158371222
5.0,0.5,22.96496373385807,21.558147364286974
5.0,0.75,21.684433035008798,20.69882258897506
5.0,1.0,21.202021756912295,20.471675116698236
5.0,1.25,21.129001384177215,20.49484547214797
5.0,1.5,21.457389141581583,20.75946740692098
5.0,1.75,21.91167766150955,21.086818220789205
5.0,2.0,22.373368486221477,21.40808913872904
5.0,2.25,22.849850755359984,21.738535773535236
5.0,2.5,23.3533924556513,22.092476757150376
5.0,2.75,23.866491363943222,22.456940971097108
5.0,3.0,24.347529951032268,22.799759502297793
5.5,0.5,24.841779525473182,22.9331410679433
5.5,0.75,23.076620719416862,21.706026765446992
5.5,1.0,22.118178034848263,21.116109408755268
5.5,1.25,21.711819946520976,20.930282563164628
5.5,1.5,21.720070832548686,20.984898490506417
5.5,1.75,22.0127401581842,21.214097018353357
5.5,2.0,22.383192589553968,21.474441393012476
5.5,2.25,22.772346738850093,21.74547183603957
5.5,2.5,23.18936056674344,22.03862824769435
5.5,2.75,23.648065859455933,22.364636669103803
5.5,3.0,24.117117752873508,22.696056449383498
6.0,0.5,26.852933348235947,24.39281393890159
6.0,0.75,24.72671313050681,22.889488688040053
6.0,1.0,23.341680644102897,21.954972225921615
6.0,1.25,22.599261235878622,21.535360705560407
6.0,1.5,22.258377461835817,21.363212425007916
6.0,1.75,22.345144804302066,21.46026128799706
6.0,2.0,22.574451587494682,21.64353537871559
6.0,2.25,22.862657849566585,21.850321022341884
6.0,2.5,23.19270119857465,22.08349422092912
6.0,2.75,23.563364243450312,22.353230820478387
6.0,3.0,23.97979286680729,22.65387973775963
6.5,0.5,29.012998207018143,25.942028195117228
6.5,0.75,26.459379925227886,24.12592159015613
6.5,1.0,24.720062880264972,22.921179723161956
6.5,1.25,23.67625076778587,22.24974198881297
6.5,1.5,23.065993011701387,21.90140549920157
6.5,1.75,22.856710013475663,21.800108100140683
6.5,2.0,22.94344122397741,21.89993569509099
6.5,2.25,23.108606737705582,22.04038540019447
6.5,2.5,23.329326857340998,22.210381873936058
6.5,2.75,23.61534446174044,22.423590246699163
6.5,3.0,23.951546467238828,22.67651228122341
7.0,0.5,31.37564986405021,27.600911564139825
7.0,0.75,28.279288200831804,25.405174778417535
7.0,1.0,26.200934726115257,23.970665906349
7.0,1.25,24.85196358397024,23.045920749724516
7.0,1.5,24.018378982395596,22.530142021828343
7.0,1.75,23.561142576707784,22.258603778162694
7.0,2.0,23.44834526277423,22.224278103677452
7.0,2.25,23.488680902399697,22.29446491457835
7.0,2.5,23.599685582808252,22.40265964314551
7.0,2.75,23.768736836541272,22.552225858731614
7.0,3.0,24.02128219924372,22.753878634532498
7.5,0.5,33.82259846382363,29.316623435329795
7.5,0.75,30.24366036069712,26.769285797693996
7.5,1.0,27.78154975202818,25.08287571374314
7.5,1.25,26.102351547330237,23.91486551659659
7.5,1.5,25.042507331145668,23.21153155605141
7.5,1.75,24.38181037775298,22.79400552482805
7.5,2.0,24.08568860925691,22.625355498583136
7.5,2.25,23.99897257616198,22.619068065910795
7.5,2.5,23.98137848133417,22.651843879211775
7.5,2.75,24.05278018458423,22.74084900470797
7.5,3.0,24.19292452408799,22.89031074684315
8.0,0.5,36.28097366331188,31.050709266218156
8.0,0.75,32.29998312995538,28.183961212775024
8.0,1.0,29.438438230230524,26.226226861786166
8.0,1.25,27.447818876731272,24.84745228488903
8.0,1.5,26.1318049951655,23.943377405957435
8.0,1.75,25.275357325045036,23.380247153736942
8.0,2.0,24.804515674157603,23.08130445129585
8.0,2.25,24.595531627348855,22.985037614324238
8.0,2.5,24.483192981615147,22.96419078787419
8.0,2.75,24.426110005188956,22.976854957426628
8.0,3.0,24.471427211613214,23.064964290359704
8.5,0.5,38.762730746929435,32.81578910936677
8.5,0.75,34.380536133916465,29.61138841870637
8.5,1.0,31.190133208583866,27.421592696205074
8.5,1.25,28.857329334485595,25.816817182506046
8.5,1.5,27.288089566531976,24.720915519301997
8.5,1.75,26.215436071170664,24.001149036192942
8.5,2.0,25.569878327871077,23.57306516286836
8.5,2.25,25.234542088522826,23.376244773558096
8.5,2.5,25.047597299717534,23.30736219571182
8.5,2.75,24.903488121714886,23.267226423331458
8.5,3.0,24.826371029043305,23.27720118828209
9.0,0.5,41.27858163990184,34.60526128101819
9.0,0.75,36.478430790536805,31.049362014899213
9.0,1.0,32.985854692748674,28.64066349763413
9.0,1.25,30.33821036808566,26.827011088060825
9.0,1.5,28.486583070050607,25.525176226749373
9.0,1.75,27.21997947325255,24.66264264737469
9.0,2.0,26.376764270076162,24.095157229849697
9.0,2.25,25.911091984626644,23.798168117939348
9.0,2.5,25.642450613737715,23.66493005738788
9.0,2.75,25.437137075108602,23.58693268653078
9.0,3.0,25.27318461157313,23.538307024086066
9.5,0.5,43.795485858675576,36.3979517067388
9.5,0.75,38.6031535476866,32.50162518207109
9.5,1.0,34.78877518450681,29.864848767612177
9.5,1.25,31.882914849828673,27.875050714879485
9.5,1.5,29.735711790420922,26.369476076697048
9.5,1.75,28.275917629652668,25.35754347234193
9.5,2.0,27.242838642449577,24.652700403394775
9.5,2.25,26.626487604322755,24.24833519687252
9.5,2.5,26.256707881271932,24.03652384197171
9.5,2.75,25.99816389079839,23.921346677534448
9.5,3.0,25.775039631353863,23.836813798009498
10.0,0.5,46.298759097602435,38.186679351989554
10.0,0.75,40.7549320526402,33.969189724017745
10.0,1.0,36.60175839765485,31.09466099462675
10.0,1.25,33.45275969236187,28.937065260498123
10.0,1.5,31.04025713560299,27.250921979303882
10.0,1.75,29.35853208779184,26.071861477499695
10.0,2.0,28.16501208473316,25.24892580412156
10.0,2.25,27.383721506706117,24.722545868118516
10.0,2.5,26.893806219932895,24.426610682808448
10.0,2.75,26.57109055365531,24.26416034628683
10.0,3.0,26.30188453759346,24.147392874433816
