candidate_rank,name,host_name,star_class,planet_mass_earth,planet_radius_earth,semi_major_axis_au,insolation_earth,density_earth,gravity_earth,ECEE_score,planetary_battery_score,rocky_boundary_gate,usable_battery_score,battery_coherence_usable_score,branch_classification,search_note
1,Kepler-1606 b,Kepler-1606,G,5.634053080904298,2.07,0.6385088645327577,1.4125238963409932,0.63519913495851,1.3148622093641156,0.7723906233662363,0.9208926028052534,0.9922421177034884,0.913748426384962,0.8471909345906471,non-Earth coherent envelope candidate,borderline large/low-density: prioritize mass-spectrum check
2,Kepler-705 b,Kepler-705,K,5.710043427114067,2.11,0.231978011300606,0.8356932526268955,0.6078438757016704,1.2825505777305244,0.7914470028634476,0.8861954651636915,0.9785295653488856,0.8671684633407805,0.832236461376459,K-dwarf long-coherence battery branch,borderline large/low-density: prioritize mass-spectrum check
3,Kepler-1653 b,Kepler-1653,K,5.823224133203046,2.17,0.4706,0.98,0.5698811666077411,1.236642131538798,0.7924979353581704,0.9093328854300028,0.945361339314302,0.8596481544526464,0.8287538655287555,K-dwarf long-coherence battery branch,borderline large/low-density: prioritize mass-spectrum check
4,Kepler-1701 b,Kepler-1701,K,5.920299246743224,2.22186207,0.5713912003680774,1.3661225837222857,0.5397496555814257,1.1992492870319336,0.7687802766391013,0.9333145880333816,0.9065179531758354,0.8460664300131693,0.8103701953977874,K-dwarf long-coherence battery branch,borderline large/low-density: prioritize mass-spectrum check
5,Kepler-61 b,Kepler-61,K,5.785602797734578,2.15,0.257458452843173,1.3604140420962585,0.5821477653775973,1.251617695561834,0.709718143573579,0.9247620499230588,0.9579517654590552,0.8858774383533292,0.801759586070011,K-dwarf long-coherence battery branch,borderline large/low-density: prioritize mass-spectrum check
6,Kepler-442 b,Kepler-442,K,2.9531652807888644,1.34,0.409,0.66,1.2273639380462622,1.6446676769819917,0.7818321367467663,0.8182813974734822,1.0,0.8182813974734822,0.80167355203391,outer super-Earth planetary-battery candidate,prime K-dwarf outer usable-battery target
7,Kepler-1090 b,Kepler-1090,G,5.972682862712782,2.25,0.6336883103140013,1.209327863364298,0.524350758866417,1.1797892074494385,0.7919465455983505,0.9175430732560844,0.882209728705057,0.8094654257324545,0.8015344774890882,non-Earth coherent envelope candidate,borderline large/low-density: prioritize mass-spectrum check
8,Kepler-1638 b,Kepler-1638,G,6.091971356115764,1.87,0.7878433863935339,1.392536433357144,0.9316076219251432,1.742106253000018,0.7541847977226205,0.8284167857184082,1.0,0.8284167857184082,0.7941488071088691,outer super-Earth planetary-battery candidate,Sun-like/G-star usable-battery analog
9,Kepler-1410 b,Kepler-1410,K,5.713599135803373,1.78,0.2595995928587928,1.3493720096264872,1.013094039561203,1.8033073904189407,0.7415937640991317,0.8371240032905491,1.0,0.8371240032905491,0.792700474836434,outer super-Earth planetary-battery candidate,usable-battery candidate; needs follow-up constraints
10,Kepler-1544 b,Kepler-1544,K,5.713599135803373,1.78,0.557231488625569,0.905525532411578,1.013094039561203,1.8033073904189407,0.7749634321811245,0.7842148887055004,1.0,0.7842148887055004,0.7800381442111389,outer super-Earth planetary-battery candidate,prime K-dwarf outer usable-battery target
