A,p0,p_high,zt,w,theta_star,theta_err_ppm,theta_abs_err_ppm,r_s_Mpc,D_M_Mpc,cmb_soft_pass,cmb_strict_pass,sn_shape_max,sn_shape_end,sn_shape_rms,sn_offset,sn_good_pass,sn_excellent_pass,score
1.2,0.2,0.24,1.3,0.8,0.010425543387560583,1185.3596935220728,1185.3596935220728,143.74939745460756,13788.192337880884,True,False,0.1406201519862004,0.1406201519862004,0.10699942715330645,-0.16840062275750492,False,False,9.562387433645787
1.2,0.2,0.24,1.3,0.6,0.010425934911534892,1222.9585079411768,1222.9585079411768,143.74939745460756,13787.674551427346,True,False,0.1404037016036881,0.1404037016036881,0.10666211251581663,-0.16843413676203056,False,False,9.66896042866411
1.2,0.2,0.24,1.3,0.45,0.010426386124776863,1266.2893996911891,1266.2893996911891,143.74939745460756,13787.077874759214,True,False,0.1401653898993113,0.1401653898993113,0.10629915111436722,-0.16846170759905968,False,False,9.799888782007676
1.2,0.2,0.24,1.5,0.8,0.010426580757177263,1284.9803304713184,1284.9803304713184,143.74939745460756,13786.820512146893,True,False,0.1401392985911869,0.1401392985911869,0.10658555898494936,-0.1684180093393266,False,False,9.898054932270034
1.2,0.2,0.24,1.3,0.35,0.010426787670662943,1304.8506379349528,1304.8506379349528,143.74939745460756,13786.54692078024,True,False,0.1399578157418091,0.1399578157418091,0.10599114386575004,-0.16847790387488715,False,False,9.9228355300962
1.2,0.195,0.24,1.3,0.8,0.010426981662969891,1323.4800992866456,1323.4800992866456,143.74939745460756,13786.290424305185,True,False,0.13996081283776363,0.13996081283776363,0.1063300713280623,-0.16845663725452908,False,False,10.028210873610247
1.2,0.2,0.24,1.5,0.6,0.010427155902363029,1340.2126496206074,1340.2126496206074,143.74939745460756,13786.06005325294,True,False,0.13982324052449968,0.13982324052449968,0.10617876780173655,-0.16844915777884495,False,False,10.08114169277757
1.2,0.2,0.24,1.3,0.25,0.010427261982333073,1350.399717000874,1350.399717000874,143.74939745460756,13785.919803124003,True,False,0.13971486159639568,0.13971486159639568,0.1056422207745094,-0.168488393259004,False,False,10.075478584901889
1.2,0.195,0.24,1.3,0.6,0.010427422219728118,1365.787628022018,1365.787628022018,143.74939745460756,13785.707955954971,True,False,0.1397171456788584,0.1397171456788584,0.10595043536716256,-0.1684943406815691,False,False,10.166935739051892
1.2,0.2,0.24,1.7,0.8,0.010427566530933961,1379.6461158876964,1379.6461158876964,143.74939745460756,13785.517170105499,True,False,0.1396869534936395,0.1396869534936395,0.10620909615035196,-0.16843251388646033,False,False,10.247492410107062
1.2,0.2,0.24,1.5,0.45,0.010427755956886166,1397.8370612460103,1397.8370612460103,143.74939745460756,13785.266748564434,True,False,0.1394980715722672,0.1394980715722672,0.10576901935567527,-0.1684720654978141,False,False,10.283849832224002
